review_point,paper_id,focused_review,grounding_specificity_label,chatgpt_grounding_specificity_definitions_score,chatgpt_grounding_specificity_definitions_rationale,chatgpt_grounding_specificity_definitions_examples_score,chatgpt_grounding_specificity_definitions_examples_rationale,chatgpt_grounding_specificity_definitions_incontext_learning_score,chatgpt_grounding_specificity_definitions_incontext_learning_rationale
- Lack of novelty:- Adversarial attacks by perturbing text has been done on many NLP models and image-text models. It is nicely summarized in related work of this paper. The only new effort is to take similar ideas and apply it on video-text models.,ARR_2022_317_review,"- Lack of novelty: - Adversarial attacks by perturbing text has been done on many NLP models and image-text models. It is nicely summarized in related work of this paper. The only new effort is to take similar ideas and apply it on video-text models.
- Checklist (Ribeiro et. al., ACL 2020) had shown many ways to stress test NLP models and evaluate them. Video-text models could also be tested on some of those dimensions. For instance on changing NER.
- If you could propose any type of perturbation which is specific to video-text models (and probably not that important to image-text or just text models) will be interesting to see. Otherwise, this work, just looks like a using an already existing method on this new problem (video-text) which is just coming up.
- Is there a way to take any clue from the video to create harder negatives.",1.0,4,"the review point is fully grounded as it clearly pertains to the discussion on novelty, referencing the related work section of the paper, so it is obvious to the authors what part is being addressed. however, while the comment highlights a lack of novelty, it does not specify in detail what could be improved or suggest how to enhance the novel contribution of the paper. thus, it is under-specific regarding what actions the authors should take to improve the draft.",5,"the review point is fully grounded and specific. it explicitly refers to the 'related work' section by mentioning that adversarial attacks by perturbing text are summarized there. it then goes on to specify the issue with the paper, which is a lack of novelty—the only new effort being the application of existing ideas on video-text models. this level of detail helps the authors clearly understand what part of their paper is being addressed and what the perceived issue is, thus fulfilling both grounding and specificity criteria.",2,"the comment is weakly grounded and not specific. it provides some context by referring to adversarial attacks on nlp models and image-text models, but does not clearly identify a specific section or describe precisely what needs to be addressed regarding the lack of novelty. the authors cannot confidently determine which part the comment addresses without more detailed guidance."
"4) Not so useful information: While I appreciate the fleshing out of the assumptions, I find that dedicating a whole section of the paper plus experimental results is a lot of space.",ACL_2017_779_review,"However, there are many points that need to be address before this paper is ready for publication.
1) Crucial information is missing Can you flesh out more clearly how training and decoding happen in your training framework? I found out that the equations do not completely describe the approach. It might be useful to use a couple of examples to make your approach clearer.
Also, how is the montecarlo sampling done? 2) Organization The paper is not very well organized. For example, results are broken into several subsections, while they’d better be presented together.  The organization of the tables is very confusing. Table 7 is referred before table 6. This made it difficult to read the results.
3) Inconclusive results: After reading the results section, it’s difficult to draw conclusions when, as the authors point out in their comparisons, this can be explained by the total size of the corpus involved in their methods (621  ). 4) Not so useful information: While I appreciate the fleshing out of the assumptions, I find that dedicating a whole section of the paper plus experimental results is a lot of space. - General Discussion: Other: 578:  We observe that word-level models tend to have lower valid loss compared with sentence- level methods….
Is it valid to compare the loss from two different loss functions?
Sec 3.2, the notations are not clear. What does script(Y) means?
How do we get p(y|x)? this is never explained Eq 7 deserves some explanation, or better removed.
320: What approach did you use? You should talk about that here 392 : Do you mean 2016?
Nitty-gritty: 742  : import => important 772  : inline citation style 778: can significantly outperform 275: Assumption 2 needs to be rewritten … a target sentence y from x should be close to that from its counterpart z.",1.0,4,"the comment explicitly mentions a part of the paper, indicating that a whole section and experimental results are dedicated to fleshing out assumptions. this provides full grounding as the authors can clearly identify which part of the paper is being addressed. however, the comment lacks specificity in detailing what is wrong with dedicating a whole section to this purpose or how it can be improved, making the comment fully grounded but under-specific.",4,"the review point explicitly mentions which part of the paper it is addressing by referring to the section dedicated to the assumptions and experimental results. this provides full grounding as the authors can clearly identify which part of the paper the comment is addressing. however, it does not specify in detail what makes the section 'not so useful,' lacking specificity regarding what exactly needs to be improved or revised. therefore, it is fully grounded, but under-specific.",4,"the comment is fully grounded as it refers to a specific section of the paper where assumptions and experimental results are discussed. however, it lacks specificity because it does not clearly state what needs to be changed or improved about the section, only that it is excessive."
- fairly straightforward extension of existing retrofitting work - would be nice to see some additional baselines (e.g. character embeddings) -,ACL_2017_494_review,"- fairly straightforward extension of existing retrofitting work - would be nice to see some additional baselines (e.g. character embeddings) - General Discussion: The paper describes ""morph-fitting"", a type of retrofitting for vector spaces that focuses specifically on incorporating morphological constraints into the vector space. The framework is based on the idea of ""attract"" and ""repel"" constraints, where attract constraints are used to pull morphological variations close together (e.g. look/looking) and repel constraints are used to push derivational antonyms apart (e.g. responsible/irresponsible). They test their algorithm on multiple different vector spaces and several language, and show consistent improvements on intrinsic evaluation (SimLex-999, and SimVerb-3500). They also test on the extrinsic task of dialogue state tracking, and again demonstrate measurable improvements over using morphologically-unaware word embeddings.
I think this is a very nice paper. It is a simple and clean way to incorporate linguistic knowledge into distributional models of semantics, and the empirical results are very convincing. I have some questions/comments below, but nothing that I feel should prevent it from being published.
- Comments for Authors 1) I don't really understand the need for the morph-simlex evaluation set. It seems a bit suspect to create a dataset using the same algorithm that you ultimately aim to evaluate. It seems to me a no-brainer that your model will do well on a dataset that was constructed by making the same assumptions the model makes. I don't think you need to include this dataset at all, since it is a potentially erroneous evaluation that can cause confusion, and your results are convincing enough on the standard datasets.
2) I really liked the morph-fix baseline, thank you for including that. I would have liked to see a baseline based on character embeddings, since this seems to be the most fashionable way, currently, to side-step dealing with morphological variation. You mentioned it in the related work, but it would be better to actually compare against it empirically.
3) Ideally, we would have a vector space where morphological variants are just close together, but where we can assign specific semantics to the different inflections. Do you have any evidence that the geometry of the space you end with is meaningful. E.g. does ""looking"" - ""look"" + ""walk"" = ""walking""? It would be nice to have some analysis that suggests the morphfitting results in a more meaningful space, not just better embeddings.",1.0,2,"the review comment is weakly grounded and not specific. while it suggests adding additional baselines, such as character embeddings, it does not specifically identify or reference a particular part of the paper that needs this revision. without explicit mention of where in the paper these additional baselines should be considered, the authors may struggle to precisely address this feedback. furthermore, the comment lacks specific guidance on how these additional baselines should be integrated or evaluated, leaving room for uncertainty in how to implement the suggestions.",4,"the review point is fully grounded as it identifies the work as an extension of existing retrofitting work and suggests additional baselines, which implies that the comment addresses the methodology or experimental section where retrofitting work is discussed. however, the comment is under-specific because it suggests the addition of baselines (e.g. character embeddings) without detailing what existing issues these additional baselines would address or how they would improve the work. thus, authors may infer what part of the paper needs attention, but they are not given specific guidance on what issues the additional baselines are meant to solve.",3,"the comment can be considered weakly grounded as it does not refer to a specific section, table, or figure. however, it provides some specificity by suggesting that additional baselines, such as character embeddings, should be included. the suggestion gives enough hint for authors to infer where additional evaluations might be needed."
"1) Additional reference regarding explainable NLP Datasets: ""Detecting and explaining unfairness in consumer contracts through memory networks"" (Ruggeri et al 2021)",ARR_2022_233_review,"Additional details regarding the creation of the dataset would be helpful to solve some doubts regarding its robustness. It is not stated whether the dataset will be publicly released.
1) Additional reference regarding explainable NLP Datasets: ""Detecting and explaining unfairness in consumer contracts through memory networks"" (Ruggeri et al 2021) 2) Some aspects of the creation of the dataset are unclear and the authors must address them. First of all, will the author release the dataset or will it remain private?
Are the guidelines used to train the annotators publicly available?
Having a single person responsible for the check at the end of the first round may introduce biases. A better practice would be to have more than one checker for each problem, at least on a subset of the corpus, to measure the agreement between them and, in case of need, adjust the guidelines.
It is not clear how many problems are examined during the second round and the agreement between the authors is not reported.
It is not clear what is meant by ""accuracy"" during the annotation stages.
3) Additional metrics that may be used to evaluate text generation: METEOR (http://dx.doi.org/10.3115/v1/W14-3348), SIM(ile) (http://dx.doi.org/10.18653/v1/P19-1427).
4) Why have the authors decided to use the colon symbol rather than a more original and less common symbol? Since the colon has usually a different meaning in natural language, do they think it may have an impact?
5) How much are these problems language-dependent? Meaning, if these problems were perfectly translated into another language, would they remain valid? What about the R4 category? Additional comments about these aspects would be beneficial for future works, cross-lingual transfers, and multi-lingual settings.
6) In Table 3, it is not clear whether the line with +epsilon refers to the human performance when the gold explanation is available or to the roberta performance when the golden explanation is available?
In any case, both of these two settings would be interesting to know, so I suggest, if it is possible, to include them in the comparison if it is possible.
7) The explanation that must be generated for the query, the correct answer, and the incorrect answers could be slightly different. Indeed, if I am not making a mistake, the explanation for the incorrect answer must highlight the differences w.r.t. the query, while the explanation for the answer must highlight the similarity. It would be interesting to analyze these three categories separately and see whether if there are differences in the models' performances.",1.0,1,"the review point suggests an additional reference but does not specify where in the paper this reference should be added or why it is relevant. it does not provide grounding by mentioning a specific section, figure, or any unique part of the paper that needs this reference. furthermore, it lacks specificity in explaining why this reference is important or how it contributes to the paper. without an obvious link to a particular part of the paper, authors might find it challenging to determine where to incorporate the suggested reference.",4,"the review point is fully grounded because it mentions a specific reference ('detecting and explaining unfairness in consumer contracts through memory networks' by ruggeri et al, 2021) that the authors should consider including in their paper. however, it is under-specific because it does not detail why this reference is relevant or what specific part of the paper it should be connected to, leaving the authors without clear guidance on how this citation improves their draft.",4,"the comment is fully grounded as it provides a specific additional reference for the authors to consider. however, it lacks specifics on how or why this reference is relevant or how it should be integrated into the paper, making it under-specific."
3. It will be nice to see some examples of the system on actual texts (vs. other components & models).,ARR_2022_98_review,"1. Human evaluations were not performed. Given the weaknesses of SARI (Vásquez-Rodríguez et al. 2021) and FKGL (Tanprasert and Kauchak, 2021), the lack of human evaluations severely limits the potential impact of the results, combined with the variability in the results on different datasets.
2. While the authors explain the need to include text generation models into the framework of (Kumar et al., 2020), it is not clear as to why only the delete operation was retained from the framework, which used multiple edit operations (reordering, deletion, lexical simplification, etc.). Further, it is not clear how including those other operations will affect the quality and performance of the system.
3. ( minor) It is unclear how the authors arrived at the different components of the ""scoring function,"" nor is it clear how they arrived at the different threshold values/ranges.
4. Finally, one might wonder that the performance gains on Newsela are due to a domain effect, given that the system was explicitly tuned for deletion operations (that abound in Newsela) and that performance is much lower on the ASSET test corpus. It is unclear how the system would generalize to new datasets with varying levels of complexity, and peripheral content.
1. Is there any reason why 'Gold Reference' was not reported for Newsela? It makes it hard to assess the performance of the existing system. 2. Similarly, is there a reason why the effect of linguistic acceptability was not analyzed (Table 3 and Section 4.6)?
3. It will be nice to see some examples of the system on actual texts (vs. other components & models).
4. What were the final thresholds that were used for the results? It will also be good for reproducibility if the authors can share the full set of hyperparameters as well.",1.0,2,"the comment suggests including examples of the system on actual texts compared to other components and models. however, it does not mention any specific part of the paper or detail what needs to be addressed. the authors might have some hint that it relates to sections discussing the system or its evaluation, but cannot confidently determine the exact part. additionally, the comment lacks specificity in terms of describing what examples should illustrate or how this would improve the paper.",4,"the review point is fully grounded because it is clear that the suggestion relates to including examples of the system applied to actual texts, distinguishing it from other components and models. however, it is under-specific as it does not specify what kind of examples are needed, what the criteria for these examples should be, or why these examples would be beneficial. to be more specific, the reviewer could have detailed what purpose these examples would serve or which components and models for comparison should be highlighted.",3,"the comment is weakly grounded, as it does not specify a particular section, table, or figure, but the authors could infer where they might add examples of the system. it is somewhat specific, as it suggests improving the draft by providing examples on actual texts, but it does not specify in detail the nature of these examples or which parts of the paper could benefit from them."
- A number of claims from this paper would benefit from more in-depth analysis.,ARR_2022_232_review,"- A number of claims from this paper would benefit from more in-depth analysis.
- There are still some methodological flaws that should be addressed.
### Main questions/comments Looking at the attached dataset files, I cannot work out whether the data is noisy or if I don't understand the format. The 7th example in the test set has three parts separated by [SEP] which I thought corresponded to the headlines from the three sides (left, center, right). However, the second and third headlines don't make sense as stand-alone texts. Especially the third one which states ""Finally, borrowers will receive relief."" seems like a continuation of the previous statements. In addition to the previous question, I cannot find the titles, any meta-information as stated in lines 187-189, nor VAD scores which I assumed would be included.
Part of the motivation is that scaling the production of neutral (all-sides) summaries is difficult. It would be good to quantify this if possible, as a counterargument to that would be that not all stories are noteworthy enough to require such treatment (and not all stories will appear on all sides).
Allsides.com sometimes includes more than one source from the same side -- e.g. https://www.allsides.com/story/jan-6-panel-reportedly-finds-gaps-trump-white-house-phone-records has two stories from Center publishers (CNBC and Reuters) and none from the right. Since the inputs are always one from each side (Section 3.2), are such stories filtered out of the dataset? Of the two major insights that form the basis of this work (polarity is a proxy for framing bias and titles are good indicators of framing bias) only first one is empirically tested with the human evaluation presented in Section 5.1.3. Even then, we are missing any form of analysis of disagreements or low correlation cases that would help solidify the argument. The only evidence we have for the second insight are the results from the NeuS-Title system (compared to the NeuSFT model that doesn't explicitly look at the titles), but again, the comparison is not systematic enough (e.g. no ablation study) to give us concrete evidence to the validity of the claim.
Related to the previous point, it's not clear what the case study mentioned in Section 4.2 actually involved. The insights gathered aren't particularly difficult to arrive at by reading the related literature and the examples in Table 1, while indicative of the arguments don't seem causally critical. It would be good to have more details about this study and how it drove the decisions in the rest of the paper. In particular, I would like to know if there were any counterexamples to the main points (e.g. are there titles that aren't representative of the type of bias displayed in the main article?).
The example in Table 3 shows that the lexicon-based approach (VAD dataset) suffers from lack of context sensitivity (the word ""close"" in this example is just a marker of proximity). This is a counterpoint to the advantages of such approaches presented in Section 5.1.1 and it would be interesting to quantify it (e.g. by looking at the human-annotated data from Section 5.1.3) beyond the safeguard introduced in the second paragraph (metric calibration).
For the NeuS-Title model, does that order of the input matter? It would be interesting to rerun the same evaluation with different permutations (e.g. center first, or right first). Is there a risk of running into the token limit of the encoder?
From the examples shared in Table 3, it appears that both the NeuSFT and NeuS-Title models stay close to a single target article. What strikes me as odd is that neither chose the center headline (the former is basically copying the Right headline, the latter has done some paraphrasing both mostly based on the Left headline). Is there a particular reason for this? Is the training objective discouraging true multi-headline summarisation since the partisan headlines will always contain more biased information/tokens?
### Minor issues I was slightly confused by the word ""headline"" to refer to the summary of the article. I think of headlines and titles as fundamentally the same thing: short (one sentence) high-level descriptions of the article to come. It would be helpful to refer to longer text as a summary or a ""headline roundup"" as allsides.com calls it. Also there is a discrepancy between the input to the NeuS-Title model (lines 479-486) and the output shown in Table 3 (HEADLINE vs ARTICLE).
Some citations have issues. Allsides.com is cited as (all, 2021) and (Sides, 2018); the year is missing for the citations on lines 110 and 369; Entman (1993) and (2002) are seemingly the same citation (and the 1993 is missing any publication details); various capitatlisation errors (e.g. ""us"" instead of ""US"" on line 716) It's not clear what the highlighting in Table 1 shows (it is implicitly mentioned later in the text). I would recommend colour-coding the different types of bias and providing the details in the caption.",1.0,2,"the comment is weakly grounded as it does not specify which specific claims in the paper need more in-depth analysis. therefore, the authors cannot confidently determine which part of the paper the comment addresses. moreover, the comment lacks specificity as it does not indicate what is lacking in the current analysis or suggest how the analysis should be improved. overall, the comment provides only a general hint that certain claims require more analysis but fails to give the authors concrete guidance.",2,"the review point is weakly grounded and not specific. the comment mentions that a number of claims could use more in-depth analysis but does not provide explicit details on which specific claims in the paper are being addressed. this makes it difficult for the authors to confidently identify the part of the paper the comment is addressing. additionally, the comment lacks specificity as it does not detail what is wrong with the current analysis or how it should be improved, providing no guidance on what needs to be addressed.",1,"the comment is not grounded at all. it does not reference any specific part of the paper or make it clear which claims need more analysis. additionally, it is unspecific about what kind of in-depth analysis is required or where these claims are located in the paper."
"- The paper is not difficult to follow, but there are several places that are may cause confusion. (listed in point 3).",ICLR_2022_3352,"+ The problem studied in this paper is definitely important in many real-world applications, such as robotics decision-making and autonomous driving. Discovering the underlying causation is important for agents to make reasonable decisions, especially in dynamic environments.
+ The method proposed in this paper is interesting and technically correct. Intuitively, using GRU to extract sequential information helps capture the changes of causal graphs.
- The main idea of causal discovery by sampling intervention set and causal graphs for masking is similar to DCDI [1]. This paper is more like using DCDI in dynamic environments, which may limit the novelty of this paper.
- The paper is not difficult to follow, but there are several places that are may cause confusion. (listed in point 3).
- The contribution of this paper is not fully supported by experiments.
Main Questions
(1) During the inference stage, why use samples instead of directly taking the argmax of Bernoulli distribution? How many samples are required? Will this sampling cause scalability problems?
(2) In the experiment part, the authors only compare with one method (V-CDN). Is it possible to compare DYNOTEARS with the proposed method?
(3) The authors mention that there is no ground truth to evaluate the causal discovery task. I agree with this opinion since the real world does not provide us causal graphs. However, the first experiment is conducted on a synthetic dataset, where I believe it is able to obtain the causation by checking collision conditions. In other words, I am not convinced only by the prediction results. Could the author provide the learned causal graphs and intervention sets and compare them with ground truth even on a simple synthetic dataset?
Clarification questions
(1) It seems the citation of NOTEARS [2] is wrongly used for DYNOTEARS [3]. This citation is important since DYNOTEARS is one of the motivations of this paper.
(2) ICM part in Figure 3 is not clear. How is the Intervention set I is used? If I understand correctly, function f
is a prediction model conditioned on history frames.
(3) The term “Bern” in equation (3) is not defined. I assume it is the Bernoulli distribution. Then what does the symbol B e r n ( α t , β t ) mean?
(4) According to equation (7), each node j
has its own parameters ϕ j t and ψ j t
. Could the authors explain why the parameters are related to time?
(5) In equation (16), the authors mention the term “ secondary optimization”. I can’t find any reference for it. Could the author provide more information?
Minor things:
(1) In the caption of Figure 2, the authors say “For nonstationary causal models, (c)….”. But in figure (c) belongs to stationary methods.
[1] Brouillard P, Lachapelle S, Lacoste A, et al. Differentiable causal discovery from interventional data[J]. arXiv preprint arXiv:2007.01754, 2020.
[2] Zheng X, Aragam B, Ravikumar P, et al. Dags with no tears: Continuous optimization for structure learning[J]. arXiv preprint arXiv:1803.01422, 2018.
[3] Pamfil R, Sriwattanaworachai N, Desai S, et al. Dynotears: Structure learning from time-series data[C]//International Conference on Artificial Intelligence and Statistics. PMLR, 2020: 1595-1605.",1.0,4,"the comment acknowledges that the paper is generally not difficult to follow but hints there are specific areas of potential confusion. it states that these are listed in point 3, which provides full grounding because the authors can easily refer to point 3 for more detailed feedback. however, without point 3 included in this review point, there is no specificity about what the confusion entails in these areas.",2,"the review point is weakly grounded and not specific. it mentions that certain parts of the paper could cause confusion, hinting at potential clarity issues. however, it does not specify which sections or elements are problematic and only refers vaguely to these points. the mention of being listed in another point does not provide immediate guidance within this comment, leaving the authors unable to precisely identify what or where the issues lie without further context.",2,"the comment is weakly grounded, as it vaguely refers to 'several places' that may cause confusion without specifying where these places are in the paper. additionally, it does not provide specific guidance on what exactly is confusing or how to improve those areas."
1) Originality is limited because the main idea of variable splitting is not new and the algorithm is also not new.,NIPS_2018_476,"Weakness] 1) Originality is limited because the main idea of variable splitting is not new and the algorithm is also not new. 2) Theoretical proofs of existing algorithm might be regarded as some incremental contributions. 3) Experiments are somewhat weak: 3-1) I was wondering why Authors conducted experiments with lambda=1. According to Corollary 1 and 2 lambda should be sufficiently large, however it is completely ignored for experimental setting. Otherwise the proposed algorithm has no difference from [10]. 3-2) In Figure 3, different evaluations are shown in different dataset. It might be regarded as subjectively selected demonstrations. 3-3) I think clustering accuracy is not very significant because there are many other sophisticated algorithms, and initializations are still very important for nice performance. It show just the proposed algorithm is OK for some applications. [Minor points] -- comma should be deleted at line num. 112: ""... + \lambda(u-v), = 0 ..."". -- ""close-form"" --> ""closed-form"" at line num.195-196. --- after feedback --- I understand that the contribution of this paper is a theoretical justification of the existing algorithms proposed in [10]. In that case, the experimental validation with respect to the sensitivity of ""lambda"" is more important rather than the clustering accuracy. So Fig. 1 in feedback file is nice to add paper if possible. I think dropping symmetry is helpful, however it is not new idea that is already being used. So, it will not change anything in practice to use it. Furthermore, in recent years, almost all application researchers are using some application specific extensions of NMF such as sparse NMF, deep NMF, semi-NMF, and graph-regularized NMF, rather than the standard NMF. Thus, this paper is theoretically interesting as some basic research, but weak from an application perspective. Finally, I changed my evaluation upper one as: ""Marginally below the acceptance threshold. I tend to vote for rejecting this submission, but accepting it would not be that bad.""",1.0,2,"this review comment is weakly grounded and not specific. it does mention the originality of the idea and algorithm, suggesting a lack of novelty, but it does not refer to specific parts of the paper such as sections or claims that the authors can identify as needing improvement. moreover, the comment lacks specificity regarding what aspect of the originality is lacking (e.g., is it the conceptual framework, the methodology, the results, etc.?) and does not provide guidance on how to address these issues. this makes it difficult for the authors to pinpoint where exactly the comment applies and what specifically needs to be revised to enhance originality.",2,"the review point addresses the originality of the paper's main idea and algorithm, suggesting that they are not new. however, it does not reference any specific part of the paper or specific elements within the paper that are lacking originality, making it weakly grounded. additionally, the comment does not provide details on what aspects of the variable splitting idea or algorithm make them unoriginal, so it lacks specificity. therefore, based on the criteria provided, this comment would be rated as 'weakly grounded and not specific'.",2,"the comment is weakly grounded and not specific. while it points out the lack of originality due to the ideas and algorithms not being new, it does not mention where these claims can be verified within the paper nor does it specify which parts of the paper present these ideas and algorithms. consequently, the authors may struggle to confidently identify the exact sections this feedback pertains to."
1) The paper was extremely hard to follow. I read it multiple times and still had trouble following the exact experimental procedures and evaluations that the authors conducted.,5UW6Mivj9M,"1) The paper was extremely hard to follow. I read it multiple times and still had trouble following the exact experimental procedures and evaluations that the authors conducted.
2) Relatedly, it was hard to discern what was novel in the paper and what had already been tried by others.
3) Since the improvement in numbers is not large (in most cases, just a couple of points), it is hard to tell if this improvement is statistically significant and if it translates to qualitative improvements in performance.",1.0,2,"the comment is weakly grounded as it does not specify which part of the paper makes it difficult to follow. while it hints at issues related to 'experimental procedures and evaluations,' the authors cannot accurately determine which sections need revision. additionally, the comment lacks specificity in detailing what exactly is unclear about the procedures or evaluations, thus making it not specific.",1,"the review point does not provide any specific guidance regarding which part of the paper was hard to follow or identify any specific issues with the experimental procedures and evaluations. as a result, the authors cannot confidently determine which sections require clarification or improvement. this lack of grounding and specificity renders the comment not helpful in guiding authors to improve their draft.",1,"the comment is not grounded as it does not specify any part of the paper where the issue occurs. it lacks detail on what exactly is wrong with the experimental procedures and evaluations, hence making it highly unspecific."
1) The paper does not dig into the theory profs and show the convergence properties of the proposed algorithm.,ACL_2017_554_review,"1) The paper does not dig into the theory profs and show the convergence properties of the proposed algorithm.
2) The paper only shows the comparison between SG-MCMC vs RMSProp and did not conduct other comparison. It should explain more about the relation between pSGLD vs RMSProp other than just mentioning they are conterparts in two families.
2) The paper does not talk about the training speed impact with more details.
- General Discussion:",2.0,1,"the review comment is not grounded as it does not specify which part of the paper it addresses, such as a specific section, figure, or any identifiable part. the comment is also not specific because it does not provide details or examples to illustrate what is missing or what should be addressed about the theoretical proofs and convergence properties. as it stands, the authors are left unsure about where exactly to make revisions and what specific aspects need improvement.",2,"the review point is weakly grounded and not specific. while it points out a general issue related to the theoretical proofs and convergence properties, it does not explicitly identify which part of the paper this critique applies to, nor does it provide guidance on what specific aspects of 'theory profs' or 'convergence properties' are lacking or need improvement. the authors would have difficulty identifying the precise section needing revision or knowing exactly what is required to address the reviewer's concerns.",1,"the comment is not grounded at all, as it does not mention what the proposed algorithm is, or where it was mentioned. it is highly unspecific, providing no details on what part of the paper this issue relates to."
