review_point,paper_id,venue,focused_review,actionability,actionability_label,actionability_label_type,batch,grounding_specificity,grounding_specificity_label,grounding_specificity_label_type,verifiability,verifiability_label,verifiability_label_type,helpfulness,helpfulness_label,helpfulness_label_type,professional_tone,professional_tone_label,professional_tone_label_type,valid_point,valid_point_label,valid_point_label_type,chatgpt_helpfulness_definitions_score,chatgpt_helpfulness_definitions_rationale
"- The applicability of the robust training scheme seems unlikely to scale to practical datasets, particularly those supported on high-dimensional domains. It seems like the accuracy would scale unfavorably unless the size of V scales exponentially with the dimension.",NIPS_2020_916,NIPS_2020,"My major complaints can be characterized into the following bullet points: - Robustness is argued only indirectly by way of Lipschitz constants. While the authors present a novel formulation (i.e., differing from the standard low-lipschitz=>robustness claims in the ML literature) of how controlling the lipschitz function of the classifier controls sensitivity to adversarial perturbations, this setting differs slightly from standard classification settings. In the standard classification setting, where labels are 1-hot vectors in R^dim(Y), a classifier typically returns as a label the argmax of the vector-valued function. Robustness then is usually considered as whether the argmax returns the right label, rather than a strictly-convex loss applied to the one-hot-label: this work incorporates 'confidence' into the robustness evaluation. - The applicability of the robust training scheme seems unlikely to scale to practical datasets, particularly those supported on high-dimensional domains. It seems like the accuracy would scale unfavorably unless the size of V scales exponentially with the dimension. - The example data distribution could be better chosen. As it stands, a classifier with (true) loss would require a Lipschitz constant that tends to infinity. A more standard/practical dataset would admit a perfect classifier that has a valid Lipschitz constant.","['1', '2', '1', '1']",1.0,gold,3,"['1', '5', '4', '3']",,,"['4', '3', '3', '5']",3,silver,"['2', '3', '2', '2']",2.0,gold,"['1', '1', '1', '1']",1.0,gold,"['1', '0', '0', '0']",0.0,gold,3,"the comment identifies a potential weakness in the scalability of the robust training scheme to practical high-dimensional datasets. however, it lacks specific guidance or suggestions for how the authors might address this issue. the concern about accuracy scaling unfavorably is noted, but without elaboration on how to measure or improve this scalability, the feedback is somewhat helpful but incomplete. the authors gain some insights into a potential problem area but need more detailed suggestions to effectively improve their draft."
"- Relating to the first point, authors should describe more about the traits of the experts and justify why annotation must be carried out by the experts, outside its commercial values. Were the experts linguistic experts or domain experts? Was annotation any different from what non-experts would do? Did it introduce any linguistic challenges?",ARR_2022_112_review,ARR_2022,"- The paper does not discuss much about linguistic aspect of the dataset. While their procedures are thoroughly described, analyses are quite limited in that they do not reveal much about linguistic challenges in the dataset as compared to, for example, information extraction. The benefit of pretraining on the target domain seems to be the only consistent finding in their paper and I believe this argument holds in majority of datasets.
- Relating to the first point, authors should describe more about the traits of the experts and justify why annotation must be carried out by the experts, outside its commercial values. Were the experts linguistic experts or domain experts? Was annotation any different from what non-experts would do? Did it introduce any linguistic challenges?
- The thorough description of the processes is definitely a strength, it might be easier to follow if the authors moved some of the details to appendix.
L23: I was not able to find in the paper that single-task models consistently outperformed multi-task models. Could you elaborate a bit more about this?
Table 1: It would be easier if you explain about ""Type of Skills"" in the caption. It might also be worth denoting number of sentences for your dataset, as Jia et al (2018) looks larger than SkillSpan at a first glance.
Section 3: This section can be improved to better explain which of ""skill"", ""knowledge"" and ""attitude"" correspond to ""hard"" and ""soft"" knowledge. Soft skills are referred as attitudes (L180) but this work seems to only consider ""skill"" and ""knowledge"" (L181-183 and Figure 1)? This contradicts with the claim that SkillSpan incorporates both hard and soft knowledge.
L403: I don't think it is the field's norm to call it multi-task learning when it is merely solving two sequential labeling problems at a same time.
L527: Is there any justification as to why you suspected that domain-adaptive pre-raining lead to longer spans?
L543: What is continuous pretraining?
L543: ""Pre-training"" and ""pretraining"" are not spelled consistently.","['2', '5', '4', '4', '3', '1', '5', '5']",5.0,gold,2,"['3', '5', '5', '5', '4', '2', '5', '3']",5.0,gold,"['1', '5', 'X', 'X', '4', '1', '5', 'X']",X,gold,"['2', '5', '5', '5', '3', '3', '5', '4']",5.0,gold,"['1', '1', '1', '1', '1', '1', '1', '1']",1.0,gold,"['0', '0', '0', '0', '0', '0', '0']",0.0,gold,4,"the comment identifies a specific area that needs more clarification in the authors' draft, namely the traits of the experts involved and the necessity of using experts for annotation beyond its commercial value. it provides clear guidance on what additional information is needed (type of experts, differences in annotation, potential linguistic challenges). this feedback is actionable and would help the authors improve their draft significantly. however, the comment could be more comprehensive by suggesting how the authors might address these points in their draft, which would elevate the score to a 5."
"2 The experiments are not quite convincing. The authors choose the old baseline like R3D and C3D. To reduce computation complexity, many papers have been proposed in 3D CNN (X3D, SlowFast, etc). Does the proposed method also works on these 3D CNNs? Or compared to these approaches, what is the advantage of the proposed method?",ICLR_2023_4741,ICLR_2023,"Weakness
1 The novelty is limited. The low-rank design is relevant to (Hu et al., 2021). The sparse design is similar to Taylor pruning (Molchanov et al., 2019).
2 The experiments are not quite convincing. The authors choose the old baseline like R3D and C3D. To reduce computation complexity, many papers have been proposed in 3D CNN (X3D, SlowFast, etc). Does the proposed method also works on these 3D CNNs? Or compared to these approaches, what is the advantage of the proposed method?
3 The paper is hard to follow. In fact, I have to read many times to get what it is. I understand it is a theoretical-kind paper. But please further explain the mathmetical formulation clearly to show why and how it works.","['4', '4', '5']",4.0,silver,4,"['3', '5', '5']",5.0,silver,"['4', '4', '5']",4,silver,"['4', '4', '5']",4.0,silver,"['1', '1', '1']",1.0,gold,"['0', '0', '0']",0.0,gold,4,"the comment is mostly helpful as it clearly identifies a weakness in the experimental setup and suggests exploring more recent baselines, which is actionable for the authors. it also prompts the authors to demonstrate the advantages of their method over these recent techniques, which could lead to significant improvements in their draft. however, it could be more comprehensive by providing additional guidance or specific examples on how to implement these suggestions, hence it does not receive the highest score."
"1) p_k symbols are used without definition (tough I think I these are the network predictions p(\hat{y}=k I) 2) the relation of the formula presented to the known EMD is not clear. The latter is a problem solved as linear programming or similar, and not a closed form formula",ICLR_2021_2208,ICLR_2021,"+ Nice idea Consistent improvements over cross entropy for hierarchical class structures Improvements w.r.t other competitors (though not consistent) Good ablation study
The improvements are small The novelty is not very significant
More comments:
Figure 1: - It is not clear what distortion is at this stage - It is not clear what perturbed MNist is, and respectively: why is the error of a 3-layer CNN so high (12-16% error are reported)? CNNs with 2-3 layers can solve MNist with accuracy higher than 99.5%? - This figure cannot be presented on page 2 without proper definitions. It should be either presented on page 5, where the experiment is defined, or better explained
Page 4: It is said that s can be computed efficiently and this is shown in the appendix, but the version I have do not have an appendix Page 6: the XE+EMD method is not present in a comprehensible manner. 1) p_k symbols are used without definition (tough I think I these are the network predictions p(\hat{y}=k I) 2) the relation of the formula presented to the known EMD is not clear. The latter is a problem solved as linear programming or similar, and not a closed form formula 3) it is not clear what the role of \mu is and why can be set to 3 irrespective of the scale of metric D page 7: The experiments show small, but consistent improvements of the suggested method over standard cross entropy, and improvements versus most competitors in most cases
I have read the reviews of others and the author's response. My main impression of the work remains as it was: that it is nice idea with small but significant empirical success. However, my acquaintance with the previous literature in this subject is partial compared to the acquaintance of other reviewers, so It may well be possible that they are in a better position than me to see the incremental nature of the proposed work. I therefore reduce the rating a bit, to become closer to the consensus.","['2', '4']",,,4,"['2', '5']",,,"['2', '3']",,,"['2', '4']",,,"['1', '1']",1.0,silver,"['0', '0']",0.0,silver,4,"the review point identifies two distinct weaknesses in the draft: the undefined use of symbols and the unclear relation of a formula to the known earth mover's distance (emd). it provides clear and actionable feedback by pointing out specific elements needing clarification or definition, which should be helpful for the authors to improve their draft. however, the comment could be more detailed by suggesting how to address these issues, particularly the relationship with emd. therefore, it is mostly helpful but could be expanded to be fully comprehensive."
- The authors approach is only applicable for problems that are small or medium scale. Truly large problems will overwhelm current LP-solvers.,NIPS_2018_430,NIPS_2018,"- The authors approach is only applicable for problems that are small or medium scale. Truly large problems will overwhelm current LP-solvers. - The authors only applied their method on peculiar types of machine learning applications that were already used for testing boolean classifier generation. It is unclear whether the method could lead to progress in the direction of cleaner machine learning methods for standard machine learning tasks (e.g. MNIST). Questions: - How where the time limits in the inner and outer problem chosen? Did larger timeouts lead to better solutions? - It would be helpful to have an algorithmic writeup of the solution of the pricing problem. - SVM gave often good results on the datasets. Did you use a standard SVM that produced a linear classifier or a Kernel method? If the former is true, this would mean that the machine learning tasks where rather easy and it would be necessary to see results on more complicated problems where no good linear separator exists. Conclusion: I very much like the paper and strongly recommend its publication. The authors propose a theoretically well grounded approach to supervised classifier learning. While the number of problems that one can attack with the method is not so large, the theoretical (problem formulation) and practical (Dantzig-Wolfe solver) contribution can possibly serve as a starting point for further progress in this area of machine learning.","['1', '1', '1']",1.0,gold,4,"['1', '3', '3']",3.0,silver,"['3', '3', 'X']",3,silver,"['2', '3', '2']",2.0,silver,"['1', '1', '1']",1.0,gold,"['1', '0', '0']",0.0,silver,3,"the comment identifies a valid limitation of the authors' approach concerning the scalability of their solution with large problems. however, it lacks specific suggestions or guidance on how the authors might address this limitation or improve their approach to accommodate larger problems. thus, while it enables the authors to acknowledge a potential issue, it is somewhat helpful but not comprehensive enough to guide substantial improvements."
"- The amount of data used to train the text disambiguation model was significantly lower than the data used for training the end-to-end system. Given that the difference between the two proposed systems is only a few percentage points, it brings into question the conclusion that the direct model is clearly the better of the two (but they still are both demonstrably superior to the baseline).",CEPkRTOlut,EMNLP_2023,"No ethics section, but there are ethical issues that deserve discussion (see the ethics section).
Also a few, mostly minor points:
- When the corpus was created, participants were told to speak in such a way to make the intent of the speech unambiguous. This may lead to over-emphasis compared with natural speech. There was no mention of any evaluation of the data to avoid this.
- The corpus was created with only ambiguous sentences, and the non-ambiguous content was taken from another source. There is a chance that different recording qualities between news (LSCVR) and crowdsourced data could artificially raise the ability of the model to distinguish between ambiguous (tag 1 or 2) and non-ambiguous (tag 0) sentences.
- The amount of data used to train the text disambiguation model was significantly lower than the data used for training the end-to-end system. Given that the difference between the two proposed systems is only a few percentage points, it brings into question the conclusion that the direct model is clearly the better of the two (but they still are both demonstrably superior to the baseline).
- It would be hard to reproduce the fine tuning of the IndoBART model without a little more information. Was it fine-tuned for a certain number of steps, for example?","['1', '2', '1', '2']",1.0,silver,3,"['5', '5', '5', '3']",5.0,gold,"['4', '4', '4', '5']",4,gold,"['2', '4', '2', '2']",2.0,gold,"['1', '1', '1', '1']",1.0,gold,"['1', '0', '0', '0']",0.0,gold,3,"the review point identifies a weakness in the methodology related to the data used for training different components of the system, which could affect the validity of the conclusions. however, it lacks specific guidance on how to address this issue, such as suggestions for additional experiments or data collection strategies. therefore, while the comment provides some insights into potential shortcomings of the study, it does not fully equip the authors with the necessary information to improve their draft."
"2) it only compares with some weak baselines in Tables 3, 4 and 6. Though the approach can surpass the sentence-level model baseline, the naive document-to-document translation model and Zheng et al. (2020), these baselines seem weak, for example, Voita et al. (2019) achieve 81.6, 58.1, 72.2 and 80.0 for deixis, lexical cohesion, ellipsis (infl.) and ellipsis (VP) respectively with the CADec model, while this work only gets 64.7, 46.3, 65.9 and 53.0. It seems that there is still a large gap with the presented approach in these linguistic evaluations.",ARR_2022_123_review,ARR_2022,"1) it uses different experiment settings (e.g., a 32k batch size, a beam size of 5) and does not mention some details (e.g., the number of training steps), these different settings may contribute the performance and the comparisons in Table 2 may not be sufficiently reliable.
2) it only compares with some weak baselines in Tables 3, 4 and 6. Though the approach can surpass the sentence-level model baseline, the naive document-to-document translation model and Zheng et al. (2020), these baselines seem weak, for example, Voita et al. (2019) achieve 81.6, 58.1, 72.2 and 80.0 for deixis, lexical cohesion, ellipsis (infl.) and ellipsis (VP) respectively with the CADec model, while this work only gets 64.7, 46.3, 65.9 and 53.0. It seems that there is still a large gap with the presented approach in these linguistic evaluations.
3) the multi-resolutional data processing approach may somehow increase the instance weight of the document-level data, and how this affects the performance is not studied.
1) It's better to adopt experiment settings consistent with previous work.
2) There is still a large performance gap compared to Voita et al. (2019) in linguistic evaluations, while BLEU may not be able to reflect these document-level phenomena and linguistic evaluations are important. The issues for the performance gap shall be investigated and solved.
3) It's better to investigate whether the model really leverages document-level contexts correctly, probably refer to this paper: Do Context-Aware Translation Models Pay the Right Attention? In ACL 2021.","['3', '5', '1']",,,1,"['4', '5', '5']",5.0,silver,"['5', '5', '5']",5,gold,"['5', '5', '2']",5.0,silver,"['1', '1', '1']",1.0,gold,"['0', '0']",0.0,silver,3,"the review point identifies a significant shortcoming in the authors' work by highlighting that their approach is only compared with weak baselines. this insight is important as it highlights a potential gap in the evaluation of the proposed method. however, the feedback lacks detailed guidance on how the authors could address this issue beyond noting the weakness of their baselines and suggesting a comparison with stronger models like the cadec model from voita et al. (2019). providing more specific suggestions or strategies for improvement could make this comment more helpful, potentially raising it to a higher score."
"- Lack of comparison with a highly relevant method. [1] also proposes to utilize the previous knowledge with ‘inter-task ensemble’, while enhancing the current task’s performance with ‘intra-task’ ensemble. Yet, the authors didn’t include the method comparison or performance comparison.",yIv4SLzO3u,ICLR_2024,"- Lack of comparison with a highly relevant method. [1] also proposes to utilize the previous knowledge with ‘inter-task ensemble’, while enhancing the current task’s performance with ‘intra-task’ ensemble. Yet, the authors didn’t include the method comparison or performance comparison.
- Novelty is limited. From my perspective, the submission simply applies the existing weight averaging and the bounded update to the class incremental learning problems.
- No theoretical justification or interpretation. Is there any theoretical guarantee that to what extent inter-task weight averaging or bounded update counter catastrophic forgetting?
- Though it shows in Table 3 that bounded model update mitigates the forgetting, the incorporation of bounded model update doesn’t seem to have enough motivation from the methodological perspective. The inter-task weight average is designed to incorporate both old and new knowledge, which is by design enough to tackle forgetting.
##### References:
1.Miao, Z., Wang, Z., Chen, W., & Qiu, Q. (2021, October). Continual learning with filter atom swapping. In International Conference on Learning Representations.","['2', '4', '5', '5']",5.0,silver,3,"['2', '3', '5', '5']",5.0,silver,"['2', '5', '5', 'X']",5,silver,"['2', '4', '5', '4']",4.0,silver,"['1', '1', '1', '1']",1.0,gold,"['1', '0', '0', '0']",0.0,gold,4,"the comment highlights a specific weakness in the draft by identifying the omission of a comparison with a highly relevant method. it also provides a reference to the work [1], where 'inter-task ensemble' and 'intra-task' ensemble are used to enhance performance. this gives the authors a concrete direction for improving their draft by including these comparisons. however, the comment could be more helpful if it elaborated on why this comparison is important or how it might impact the results, thereby expanding on the guidance provided to the authors."
"1 The Algorithm should be presented and described in detail, which is helpful for understanding the proposed method.",NIPS_2022_528,NIPS_2022,"weakness 1 The Algorithm should be presented and described in detail. 2 The background of Sharpness-Aware Minimization (SAM) shoud be described in detail.
1 The Algorithm should be presented and described in detail, which is helpful for understanding the proposed method. 2 The background of Sharpness-Aware Minimization (SAM) shoud be described in detail.","['3', '3', '5']",3.0,silver,4,"['2', '2', '5']",2.0,silver,"['2', '1', 'X']",,,"['2', '2', '4']",2.0,silver,"['1', '1', '1']",1.0,gold,"['0', '0', '0']",0.0,gold,3,"the comment highlights an area for improvement by mentioning that the algorithm should be presented and described in detail. this is somewhat helpful as it gives the authors insight into what needs more attention. however, it lacks specificity and actionable suggestions, such as which parts of the algorithm need more detail or what aspects of the method need clarification, thus not fully addressing the author's needs for improving the draft."
"6: How many topics were used? How did you get topic-word parameters for this ""real"" dataset? How big is the AG news dataset? Main paper should at least describe how many documents in train/test, and how many vocabulary words.",ICLR_2022_1872,ICLR_2022,"I list 5 concerns here, with detailed discussion and questions for the authors below
W1: While theorems suggest ""existence"" of a linear transformation that will approximate the posterior, the actual construction procedure for the ""recovered topic posterior"" is unclear
W2: Many steps are difficult to understand / replicate from main paper
W3: Unclear what theorems can say about finite training sets
W4: Justification / intuition for Theorems is limited in the main paper
Responses to W1-W3 are most important for the rebuttal.
W1: Actual procedure for constructing the ""recovered topic posterior"" is unclear
In both synthetic and real experiments, the proposed self-supervised learning (SSL) method is used to produce a ""recovered topic posterior"" p( w x). However, the procedure used here is unclear... how do we estimate p( w x) using the learning function f(x)?
The theorems imply that a linear function exists with limited (or zero) approximation error for any chosen scalar summary of the doc-topic weights w. However, how such a linear function is constructed is unclear. The bottom of page four suggests that when t=1 and A is full rank, that ""one can use the pseudoinverse of A to recover the posterior"", however it seems (1) unclear what the procedure is in general and what its assumptions are, and (2) odd that the prior may not needed at all.
Can the authors clarify how to estimate the recovered topic posterior using the proposed SSL method?
W2: Many other steps are difficult to understand / replicate from main paper
Here's a quick list of questions on experimental steps I am confused about / would have trouble reproducing
For the toy experiments in Sec. 5:
Do you estimate the topic-word parameter A? Or assume the true value is given?
What is the format for document x provided as input to the neural networks that define f(x)? The top paragraph of page 7 makes it seem like you provide an ordered list of words. Wouldn't a bag-of-words count vector be a more robust choice?
How do you set t=1 (predict one word given others) but somehow also use ""the last 6 words are chosen as the prediction target""?
How do you estimate the ""recovered topic posterior"" for each individual model (LDA, CTM, etc)? Is this also using HMC (which is used to infer the ground-truth posterior)?
Why use 2000 documents for the ""pure"" topic model but 500 in test set for other models? Wouldn't more complex models benefit from a larger test set?
For the real experiments in Sec. 6:
How many topics were used?
How did you get topic-word parameters for this ""real"" dataset?
How big is the AG news dataset? Main paper should at least describe how many documents in train/test, and how many vocabulary words.
W3: Unclear what theorems / methods can say about finite training sets
All the theorems seem to hold when considering terms that are expectations over a known distribution over observed-data x and missing-data y. However, in practical data analysis we do not know the true data generating distribution, we only have a finite training set.
I am wondering about this method's potential in practice for modest-size datasets. For the synthetic dataset with V=5000 (a modest vocabulary size), the experiments considered 0.72 million to 6 million documents, which seems quite large.
What practically must be true of the observed dataset for the presented methods to work well?
W4: Justification / intuition for Theorems is limited in the main paper
All 3 theorems in the main paper are presented without much intuition or justification about why they should be true, which I think limits their impact on the reader. (I'll try to wade thru the supplement, but did not have time before the review deadline).
Theorem 3 tries to give intuition for the t=1 case, but I think could be stronger: why should f(x) have an optimal form p ( y = v 1 x )
? Why should ""these probabilities"" have the form A E [ w x ]
? I know space is limited, but helping your reader figure things out a bit more explicitly will increase the impact.
Furthermore, the reader would benefit from understanding how tight the bounds in Theorem 4 are. Can we compute the bound quality for toy data and understand it more practically?
Detailed Feedback on Presentation
No need to reply to these in rebuttal but please do address as you see fit in any revision
Page 3:
""many topic models can be viewed""... should probably say ""the generative process of many topic models can be viewed...""
the definition of A_ij is not quite right. I would not say ""word i \in topic j"", I would say ""word i topic j"". A word is not contained in a topic, Each word has a chance of being generated.
I'd really avoid writing Δ ( K )
and would just use Δ
throughout .... unclear why this needs to be a function of K
but the topic-word parameters (whose size also depends on K
) does not
Should we call the reconstruction objective a ""partial reconstruction"" or ""masked reconstruction""? I'm used to reconstruction in an auto-encoder context, where the usual ""reconstruction"" objective is literally to recover all observed data, not a piece of observed data that we are pretending not to see
In Eq. 1, are you assuming an ordered or unordered representation of the words in x and y?
Page 4:
I would not reuse the variable y in both reconstruction and contrastive contexts. Find another variable. Same with theta.
Page 5:
I would use f ∗
to denote the exact minimizer, not just f
Figure 2 caption should clarify:
what is the takeaway for this figure? Does reader want to see low values? Does this figure suggest the approach is working as expected?
what procedure is used for the ""recovered"" posterior? Your proposed SSL method?
why does Pure have a non-monotonic trend as alpha gets larger?","['5', '5', '5']",5.0,gold,4,"['3', '3', '3']",3.0,gold,"['2', 'X', 'X']",X,silver,"['3', '4', '4']",4.0,silver,"['1', '1', '1']",1.0,gold,"['0', '0', '0']",0.0,gold,3,"the comment identifies specific areas where the main paper lacks information, such as the number of topics used, the process for obtaining topic-word parameters, and details about the dataset size. however, it lacks depth as it does not provide suggestions on how to address these gaps or offer explicit guidance on how the authors can improve the draft. while the authors gain some understanding of the missing elements, the feedback does not thoroughly empower them to enhance the manuscript."
