review_point,paper_id,focused_review,helpfulness_label,chatgpt_helpfulness_definitions_score,chatgpt_helpfulness_definitions_rationale,chatgpt_helpfulness_definitions_examples_score,chatgpt_helpfulness_definitions_examples_rationale,chatgpt_helpfulness_definitions_incontext_learning_score,chatgpt_helpfulness_definitions_incontext_learning_rationale
1) The paper does not dig into the theory profs and show the convergence properties of the proposed algorithm.,ACL_2017_554_review,"1) The paper does not dig into the theory profs and show the convergence properties of the proposed algorithm.
2) The paper only shows the comparison between SG-MCMC vs RMSProp and did not conduct other comparison. It should explain more about the relation between pSGLD vs RMSProp other than just mentioning they are conterparts in two families.
2) The paper does not talk about the training speed impact with more details.
- General Discussion:",1.0,3,"the comment identifies a weakness in the paper, specifically the lack of theoretical proofs and discussion on convergence properties of the proposed algorithm. however, it lacks depth and specific guidance on how the authors can address this issue. while the comment points towards an area needing improvement, it does not provide detailed, actionable suggestions for how the authors might go about enhancing this aspect of their draft.",2,"the review point identifies a weakness by pointing out the lack of theoretical proofs and convergence properties in the proposed algorithm. however, it is vague and lacks actionable guidance for the authors on how to address or improve this aspect. it does not provide specific suggestions or questions to guide the authors in enhancing their draft, making it only slightly beneficial.",4,"the comment is mostly helpful as it clearly indicates an area where the paper is lacking—in-depth theoretical exploration and demonstration of convergence properties. while it doesn't provide specific guidance on how to address this, it clearly identifies a significant gap, thus offering valuable insight for improving the draft."
"2. For results shown in Table 3, how to interpret: (a) For Chinese MOS-Q, NVSB is comparable to GT Mel A. (b) For Chinese and English MOS-V, Baseline and NVSB have overlapping 95% CI.",ARR_2022_12_review,"I feel the design of NVSB and some experimental results need more explanation (more information in the section below).
1. In Figure 1, given experimental dataset have paired amateur and professional recordings from the same singer, what are the main rationals for (a) Having a separate timbre encoder module (b) SADTW takes outputs of content encoder (and not timbre encoder) as input?
2. For results shown in Table 3, how to interpret: (a) For Chinese MOS-Q, NVSB is comparable to GT Mel A. (b) For Chinese and English MOS-V, Baseline and NVSB have overlapping 95% CI.",1.0,2,"the review point identifies a potential area of confusion or lacking detail in the interpretation of the results presented in table 3. however, it doesn't provide clear guidance or suggestions on how the authors could improve or clarify these interpretations within the table. the feedback is somewhat vague and lacks actionable advice, making it only slightly beneficial for the authors. providing specific suggestions on improving the interpretation or presentation of the results would have increased its helpfulness.",3,"the review point raises questions about the interpretation of results presented in table 3, specifically regarding the metrics chinese mos-q and chinese and english mos-v. while it identifies potential areas of confusion for the reader, it does not provide detailed guidance or actionable suggestions on how the authors might clarify or expand upon these results. therefore, the feedback is somewhat helpful as it highlights an area for improvement but lacks depth and clear direction for the authors to enhance their draft.",3,"the comment is somewhat helpful as it highlights a specific area of confusion in interpreting the results in table 3. however, it lacks depth and detail on how the authors could clarify or improve their presentation of these results, thus offering only partial guidance."
- Lack of novelty:- Adversarial attacks by perturbing text has been done on many NLP models and image-text models. It is nicely summarized in related work of this paper. The only new effort is to take similar ideas and apply it on video-text models.,ARR_2022_317_review,"- Lack of novelty: - Adversarial attacks by perturbing text has been done on many NLP models and image-text models. It is nicely summarized in related work of this paper. The only new effort is to take similar ideas and apply it on video-text models.
- Checklist (Ribeiro et. al., ACL 2020) had shown many ways to stress test NLP models and evaluate them. Video-text models could also be tested on some of those dimensions. For instance on changing NER.
- If you could propose any type of perturbation which is specific to video-text models (and probably not that important to image-text or just text models) will be interesting to see. Otherwise, this work, just looks like a using an already existing method on this new problem (video-text) which is just coming up.
- Is there a way to take any clue from the video to create harder negatives.",1.0,3,"the comment identifies a lack of novelty in the paper, which is an important aspect for authors to consider. however, it lacks depth and actionable suggestions for how the authors might address this issue. the reviewer notes that the only new effort is applying known ideas to video-text models, but does not offer recommendations for enhancing the novelty of the work or exploring new directions, leaving the authors with some insight but limited guidance for improvement.",3,"the comment identifies a weakness in the paper regarding the lack of novelty, specifically mentioning that similar adversarial attack methods have been applied to other models and suggesting that the paper only recalibrates these methods for video-text models. this feedback provides some insight for the authors to consider the novelty and originality of their work. however, the comment lacks depth, as it does not offer detailed suggestions on how to address or improve this aspect, making it only somewhat helpful.",3,"the comment identifies a potential weakness in terms of novelty by pointing out that adversarial attacks have been applied to similar models before. however, it lacks specific suggestions or detailed guidance on how the authors might address or highlight their novelty, making it somewhat helpful but incomplete."
"- Using integrated gradients to measure the attribution has been studied in existing papers. The paper also proposes post-processing steps to filter out the “false-positive” neurons, however, the paper doesn’t show how important these post-processing steps are. I think an ablation study may be needed.",ARR_2022_82_review,"- In the “Updating Facts” section, although the results seem to show that modifying the neurons using the word embeddings is effective, the paper lacks a discussion on this. It is not intuitive to me that there is a connection between a neuron at a middle layer and the word embeddings (which are used at the input layer). - Using integrated gradients to measure the attribution has been studied in existing papers. The paper also proposes post-processing steps to filter out the “false-positive” neurons, however, the paper doesn’t show how important these post-processing steps are. I think an ablation study may be needed.
- The paper lacks details of experimental settings. For example, how are those hyperparameters ($t$, $p$, $\lambda_1$, etc.) tuned? In table 5, why do “other relations” have a very different scale of perplexity compared to “erased relation” before erasing? Are “other relations” randomly selected?
- The baseline method (i.e., using activation values as the attribution score) is widely used in previous studies. Although the paper empirically shows that the baseline is not as effective as the proposed method, - I expect more discussion on why using activation values is not a good idea.
- One limitation of this study is that the paper only focuses on single-word cloze queries (as discussed in the paper).
- Figure 3: The illustration is not clear to me. Why are there two “40%” in the figure?
- I was confused that the paper targets single-token cloze queries or multi-token ones. I did not see a clear clarification until reading the conclusion.",1.0,4,"the review point identifies a specific weakness in the paper, namely the lack of demonstrated importance for the proposed post-processing steps through an ablation study. the suggestion to include an ablation study is clear and actionable, guiding the authors on how to improve their draft. however, the comment could be made more comprehensive by explaining why an ablation study would be beneficial in this context, which prevents it from being rated a 5.",4,"the review point is mostly helpful as it provides clear and actionable feedback on a specific area for improvement. it identifies the need for the paper to demonstrate the importance of the post-processing steps through an ablation study. the feedback is specific enough for the authors to understand what is lacking and what action can be taken to improve their draft. however, it could be expanded by suggesting how the ablation study could be structured or integrated into the paper for full comprehensiveness.",4,"the comment provides a specific suggestion to perform an ablation study to evaluate the importance of post-processing steps, which is actionable feedback that can significantly help the authors improve their draft by strengthening the experimental evidence for their methodology."
- It's a bit unclear how the frame similarity factors and attributes similarity factors are selected.,ACL_2017_818_review,"- I would have liked to see more examples of objects pairs, action verbs, and predicted attribute relations. What are some interesting action verbs and corresponding attributes relations? The paper also lacks analysis/discussion on what kind of mistakes their model makes.
- The number of object pairs (3656) in the dataset is very small. How many distinct object categories are there? How scalable is this approach to larger number of object pairs?
- It's a bit unclear how the frame similarity factors and attributes similarity factors are selected.
General Discussion/Suggestions: - The authors should discuss the following work and compare against mining attributes/attribute distributions directly and then getting a comparative measure. What are the advantages offered by the proposed method compared to a more direct approach?
Extraction and approximation of numerical attributes from the Web Dmitry Davidov, Ari Rappoport ACL 2010 Minor typos: 1. In the abstract (line 026), the authors mention 'six' dimensions, but in the paper, there is only five.
2. line 248: Above --> The above 3. line 421: object first --> first 4. line 654: more skimp --> a smaller 5. line 729: selctional --> selectional",1.0,3,"the comment identifies a specific area of the paper that lacks clarity—how the frame similarity factors and attributes similarity factors are selected. however, it does not provide detailed suggestions or guidance on how this could be clarified or improved in the draft. therefore, while it points out a weakness, it lacks depth and completeness, offering only somewhat helpful feedback to the authors.",3,"the comment identifies an area that is unclear in the paper regarding the selection of frame similarity and attribute similarity factors. however, it lacks depth and specifics on how the authors could address this issue, such as suggesting ways to clarify these factors or offering potential solutions. while the authors can gain some insights from this feedback, it is not fully comprehensive, leaving them with the task of determining how to solve the issue.",3,"the comment identifies a potential area of confusion or lack of clarity in the selection of frame similarity and attribute similarity factors. however, it does not provide specific guidance on how to clarify or improve this aspect, making it somewhat helpful but lacking depth and completeness in its feedback."
"- it is always easier to show something (i.e. attention in seq2seq MTL) is not working, but the value would lie in finding out why it fails and changing the attention mechanism so that it works.",ACL_2017_365_review,"1) Instead of arguing that the MTL approach replaces the attention mechanism, I think the authors should investigate why attention did not work on MTL, and perhaps modify the attention mechanism so that it would not harm performance.
2) I think the authors should reference past seq2seq MTL work, such as [2] and [3]. The MTL work in [2] also worked on non-attention seq2seq models.
3) This paper only tested on one German historical text data set of 44 documents. It would be interesting if the authors can evaluate the same approach in another language or data set.
References: [1] Allen Schmaltz, Yoon Kim, Alexander M. Rush, and Stuart Shieber. 2016.
Sentence-level grammatical error identification as sequence-to-sequence correction. In Proceedings of the 11th Workshop on Innovative Use of NLP for Building Educational Applications.
[2] Minh-Thang Luong, Ilya Sutskever, Quoc V. Le, Oriol Vinyals, and Lukasz Kaiser. Multi-task Sequence to Sequence Learning. ICLR’16. [3] Dong, Daxiang, Wu, Hua, He, Wei, Yu, Dianhai, and Wang, Haifeng.
Multi-task learning for multiple language translation. ACL'15 --------------------------- Here is my reply to the authors' rebuttal: I am keeping my review score of 3, which means I do not object to accepting the paper. However, I am not raising my score for 2 reasons: - the authors did not respond to my questions about other papers on seq2seq MTL, which also avoided using attention mechanism. So in terms of novelty, the main novelty lies in applying it to text normalization.
- it is always easier to show something (i.e. attention in seq2seq MTL) is not working, but the value would lie in finding out why it fails and changing the attention mechanism so that it works.",1.0,3,"the review point identifies a broad weakness related to the failure of an attention mechanism but lacks specificity and details on how to address the issue. while it encourages authors to explore the reasons behind the failure, it does not provide clear, actionable steps or suggestions for improvement. this leaves authors with some insights but without detailed guidance, thereby making the comment somewhat helpful.",4,"the comment is mostly helpful because it highlights a meaningful improvement area: understanding and addressing why the attention mechanism in seq2seq mtl fails and suggesting to modify it for better performance. however, it lacks specific guidance on how to achieve it or what specific changes could be made to the attention mechanism, preventing it from being fully comprehensive. nonetheless, it provides a clear direction for the authors to further explore and improve their work.",3,"the comment highlights a general area of improvement by suggesting an exploration of why the attention mechanism fails and hints at the possibility of modifying it. however, it lacks specific guidance or concrete steps, which would make it more actionable for the authors to address."
- Relies on supplemental space to contain the paper. The paper is not truly independent given this problem (esp. S3.1 reference to Sup. Fig. 6) and again later as noted with the model comparison and other details of the span vs. sentence investigation.,ARR_2022_303_review,"- Citation type recognition is limited to two types –– dominant and reference –– which belies the complexity of the citation function, which is a significant line of research by other scholars. However this is more of a choice of the research team in limiting the scope of research.
- Relies on supplemental space to contain the paper. The paper is not truly independent given this problem (esp. S3.1 reference to Sup. Fig. 6) and again later as noted with the model comparison and other details of the span vs. sentence investigation.
- The previous report of SciBERT were removed, but this somewhat exacerbates the earlier problem in v1 where the analyses of the outcomes of the models was too cursory and unsupported by deeper analyses. However, this isn't very fair to write as a weakness because the current paper just simply doesn't mention this.
- Only having two annotators for the dataset is a weakness, since it's not clear how the claims might generalise, given such a small sample.
- A summative demographics is inferrable but not mentioned in the text. Table 1's revised caption mentions 2.9K paragraphs as the size.
This paper is a differential review given that I previously reviewed the work in the Dec 2021 version submitted to ARR.
There are minor changes to the introduction section, lengthening the introduction and moving the related work section to the more traditional position, right after the introduction.
There are no rebuttals nor notes from the authors to interpret what has been changed from the previous submission, which could have been furnished to ease reviewer burden in checking (I had to read both the new and old manuscripts side by side and align them myself) Many figures could be wider given the margins for the column. I understand you want to preserve space to make up for the new additions into your manuscript, but the wider margins would help for legibility.
Minor changes were made S3.3 to incorporate more connection to prior work. S4.1 Model design was elaborated into subsections, S5.2.1 adds an introduction to LED.
462 RoBERTa-base",1.0,3,"the comment identifies a significant issue with the paper's dependency on supplemental materials, which could be important for the authors to address. however, it lacks specific suggestions or detailed explanations on how the authors might restructure their content to make the paper more independent. therefore, while it points out a critical area for improvement, the guidance provided is somewhat vague and incomplete, limiting its overall usefulness to the authors.",3,"the comment identifies a weakness in the paper's reliance on supplemental material, which affects the paper's independence and comprehensibility. however, it lacks detailed guidance on how the authors might address this issue, such as integrating key supplemental information into the main text or offering specific sections that need expansion. while the feedback provides an important insight, it does not fully address how the authors can implement improvements, placing it in the 'somewhat helpful' category.",3,"the comment identifies an issue with the paper's reliance on supplemental material, which is a legitimate concern for the authors to address. however, it lacks specificity and actionable guidance on how to resolve this issue. while it points out the dependency on supplemental material, it does not suggest a clear solution or improvement, making it somewhat helpful but not fully comprehensive."
"1) Additional reference regarding explainable NLP Datasets: ""Detecting and explaining unfairness in consumer contracts through memory networks"" (Ruggeri et al 2021)",ARR_2022_233_review,"Additional details regarding the creation of the dataset would be helpful to solve some doubts regarding its robustness. It is not stated whether the dataset will be publicly released.
1) Additional reference regarding explainable NLP Datasets: ""Detecting and explaining unfairness in consumer contracts through memory networks"" (Ruggeri et al 2021) 2) Some aspects of the creation of the dataset are unclear and the authors must address them. First of all, will the author release the dataset or will it remain private?
Are the guidelines used to train the annotators publicly available?
Having a single person responsible for the check at the end of the first round may introduce biases. A better practice would be to have more than one checker for each problem, at least on a subset of the corpus, to measure the agreement between them and, in case of need, adjust the guidelines.
It is not clear how many problems are examined during the second round and the agreement between the authors is not reported.
It is not clear what is meant by ""accuracy"" during the annotation stages.
3) Additional metrics that may be used to evaluate text generation: METEOR (http://dx.doi.org/10.3115/v1/W14-3348), SIM(ile) (http://dx.doi.org/10.18653/v1/P19-1427).
4) Why have the authors decided to use the colon symbol rather than a more original and less common symbol? Since the colon has usually a different meaning in natural language, do they think it may have an impact?
5) How much are these problems language-dependent? Meaning, if these problems were perfectly translated into another language, would they remain valid? What about the R4 category? Additional comments about these aspects would be beneficial for future works, cross-lingual transfers, and multi-lingual settings.
6) In Table 3, it is not clear whether the line with +epsilon refers to the human performance when the gold explanation is available or to the roberta performance when the golden explanation is available?
In any case, both of these two settings would be interesting to know, so I suggest, if it is possible, to include them in the comparison if it is possible.
7) The explanation that must be generated for the query, the correct answer, and the incorrect answers could be slightly different. Indeed, if I am not making a mistake, the explanation for the incorrect answer must highlight the differences w.r.t. the query, while the explanation for the answer must highlight the similarity. It would be interesting to analyze these three categories separately and see whether if there are differences in the models' performances.",1.0,2,"the comment suggests an additional reference for the authors to consider, which could be beneficial if the suggested paper is relevant. however, the comment lacks clarity and does not explain why this specific reference is important or how it would help improve the draft. without context or explanation, the guidance is minimal, making it only slightly beneficial for the authors.",2,"the review point provides a reference to an additional paper, which might be relevant to the topic of explainable nlp datasets. however, it lacks context or explanation about why this reference is important or how it could be integrated into the draft. without detailed guidance or a specific explanation, the comment only offers minimal assistance to the authors in terms of improving their manuscript.",2,"the comment is barely helpful as it suggests adding a reference, which might be beneficial, but does not provide reasoning or context on why this reference is relevant or how it specifically contributes to the improvement of the draft."
- A number of claims from this paper would benefit from more in-depth analysis.,ARR_2022_232_review,"- A number of claims from this paper would benefit from more in-depth analysis.
- There are still some methodological flaws that should be addressed.
### Main questions/comments Looking at the attached dataset files, I cannot work out whether the data is noisy or if I don't understand the format. The 7th example in the test set has three parts separated by [SEP] which I thought corresponded to the headlines from the three sides (left, center, right). However, the second and third headlines don't make sense as stand-alone texts. Especially the third one which states ""Finally, borrowers will receive relief."" seems like a continuation of the previous statements. In addition to the previous question, I cannot find the titles, any meta-information as stated in lines 187-189, nor VAD scores which I assumed would be included.
Part of the motivation is that scaling the production of neutral (all-sides) summaries is difficult. It would be good to quantify this if possible, as a counterargument to that would be that not all stories are noteworthy enough to require such treatment (and not all stories will appear on all sides).
Allsides.com sometimes includes more than one source from the same side -- e.g. https://www.allsides.com/story/jan-6-panel-reportedly-finds-gaps-trump-white-house-phone-records has two stories from Center publishers (CNBC and Reuters) and none from the right. Since the inputs are always one from each side (Section 3.2), are such stories filtered out of the dataset? Of the two major insights that form the basis of this work (polarity is a proxy for framing bias and titles are good indicators of framing bias) only first one is empirically tested with the human evaluation presented in Section 5.1.3. Even then, we are missing any form of analysis of disagreements or low correlation cases that would help solidify the argument. The only evidence we have for the second insight are the results from the NeuS-Title system (compared to the NeuSFT model that doesn't explicitly look at the titles), but again, the comparison is not systematic enough (e.g. no ablation study) to give us concrete evidence to the validity of the claim.
Related to the previous point, it's not clear what the case study mentioned in Section 4.2 actually involved. The insights gathered aren't particularly difficult to arrive at by reading the related literature and the examples in Table 1, while indicative of the arguments don't seem causally critical. It would be good to have more details about this study and how it drove the decisions in the rest of the paper. In particular, I would like to know if there were any counterexamples to the main points (e.g. are there titles that aren't representative of the type of bias displayed in the main article?).
The example in Table 3 shows that the lexicon-based approach (VAD dataset) suffers from lack of context sensitivity (the word ""close"" in this example is just a marker of proximity). This is a counterpoint to the advantages of such approaches presented in Section 5.1.1 and it would be interesting to quantify it (e.g. by looking at the human-annotated data from Section 5.1.3) beyond the safeguard introduced in the second paragraph (metric calibration).
For the NeuS-Title model, does that order of the input matter? It would be interesting to rerun the same evaluation with different permutations (e.g. center first, or right first). Is there a risk of running into the token limit of the encoder?
From the examples shared in Table 3, it appears that both the NeuSFT and NeuS-Title models stay close to a single target article. What strikes me as odd is that neither chose the center headline (the former is basically copying the Right headline, the latter has done some paraphrasing both mostly based on the Left headline). Is there a particular reason for this? Is the training objective discouraging true multi-headline summarisation since the partisan headlines will always contain more biased information/tokens?
### Minor issues I was slightly confused by the word ""headline"" to refer to the summary of the article. I think of headlines and titles as fundamentally the same thing: short (one sentence) high-level descriptions of the article to come. It would be helpful to refer to longer text as a summary or a ""headline roundup"" as allsides.com calls it. Also there is a discrepancy between the input to the NeuS-Title model (lines 479-486) and the output shown in Table 3 (HEADLINE vs ARTICLE).
Some citations have issues. Allsides.com is cited as (all, 2021) and (Sides, 2018); the year is missing for the citations on lines 110 and 369; Entman (1993) and (2002) are seemingly the same citation (and the 1993 is missing any publication details); various capitatlisation errors (e.g. ""us"" instead of ""US"" on line 716) It's not clear what the highlighting in Table 1 shows (it is implicitly mentioned later in the text). I would recommend colour-coding the different types of bias and providing the details in the caption.",1.0,2,"the comment identifies a potential weakness by suggesting that a number of claims require more in-depth analysis. however, it is vague and lacks specificity, as it does not point out which claims specifically need further analysis or provide guidance on how to achieve this, making it only slightly beneficial for the authors.",2,"this comment identifies an improvement area by suggesting that the paper's claims would benefit from more in-depth analysis. however, it is vague and lacks clarity, as it does not specify which claims need more analysis or provide any guidance on how that analysis could be improved. therefore, it provides minimal actionable feedback for the authors.",3,"the comment is somewhat helpful as it identifies a general area for improvement—providing more in-depth analysis of certain claims. however, it lacks specificity regarding which claims need further analysis and does not offer detailed guidance or suggestions. the authors can gain some insights, but the feedback is not fully actionable or comprehensive."
"- The paper is not difficult to follow, but there are several places that are may cause confusion. (listed in point 3).",ICLR_2022_3352,"+ The problem studied in this paper is definitely important in many real-world applications, such as robotics decision-making and autonomous driving. Discovering the underlying causation is important for agents to make reasonable decisions, especially in dynamic environments.
+ The method proposed in this paper is interesting and technically correct. Intuitively, using GRU to extract sequential information helps capture the changes of causal graphs.
- The main idea of causal discovery by sampling intervention set and causal graphs for masking is similar to DCDI [1]. This paper is more like using DCDI in dynamic environments, which may limit the novelty of this paper.
- The paper is not difficult to follow, but there are several places that are may cause confusion. (listed in point 3).
- The contribution of this paper is not fully supported by experiments.
Main Questions
(1) During the inference stage, why use samples instead of directly taking the argmax of Bernoulli distribution? How many samples are required? Will this sampling cause scalability problems?
(2) In the experiment part, the authors only compare with one method (V-CDN). Is it possible to compare DYNOTEARS with the proposed method?
(3) The authors mention that there is no ground truth to evaluate the causal discovery task. I agree with this opinion since the real world does not provide us causal graphs. However, the first experiment is conducted on a synthetic dataset, where I believe it is able to obtain the causation by checking collision conditions. In other words, I am not convinced only by the prediction results. Could the author provide the learned causal graphs and intervention sets and compare them with ground truth even on a simple synthetic dataset?
Clarification questions
(1) It seems the citation of NOTEARS [2] is wrongly used for DYNOTEARS [3]. This citation is important since DYNOTEARS is one of the motivations of this paper.
(2) ICM part in Figure 3 is not clear. How is the Intervention set I is used? If I understand correctly, function f
is a prediction model conditioned on history frames.
(3) The term “Bern” in equation (3) is not defined. I assume it is the Bernoulli distribution. Then what does the symbol B e r n ( α t , β t ) mean?
(4) According to equation (7), each node j
has its own parameters ϕ j t and ψ j t
. Could the authors explain why the parameters are related to time?
(5) In equation (16), the authors mention the term “ secondary optimization”. I can’t find any reference for it. Could the author provide more information?
Minor things:
(1) In the caption of Figure 2, the authors say “For nonstationary causal models, (c)….”. But in figure (c) belongs to stationary methods.
[1] Brouillard P, Lachapelle S, Lacoste A, et al. Differentiable causal discovery from interventional data[J]. arXiv preprint arXiv:2007.01754, 2020.
[2] Zheng X, Aragam B, Ravikumar P, et al. Dags with no tears: Continuous optimization for structure learning[J]. arXiv preprint arXiv:1803.01422, 2018.
[3] Pamfil R, Sriwattanaworachai N, Desai S, et al. Dynotears: Structure learning from time-series data[C]//International Conference on Artificial Intelligence and Statistics. PMLR, 2020: 1595-1605.",1.0,2,"the comment acknowledges potential areas of confusion in the paper but is vague and lacks clarity. it indicates that these areas are listed in another point (point 3), but as a standalone comment, it does not provide sufficient details or specific guidance. thus, it is barely helpful on its own and requires additional information for it to be more beneficial to the authors.",2,"the comment identifies a potential issue with the clarity of the paper, suggesting there are several places that may cause confusion. however, it lacks specificity and detailed guidance on how to address these areas, providing only minimal benefit to the authors. it references point 3 but doesn't provide direct examples or solutions within this comment itself, which limits its helpfulness as standalone feedback.",2,"the comment identifies a potential issue with the clarity of the paper, but it is vague and lacks specific examples or guidance on which parts are confusing. the reference to 'point 3' could imply more details, but without that, the feedback provides only minimal help for the authors to address issues of clarity and comprehensibility."
