review_point,paper_id,venue,focused_review,actionability,actionability_label,actionability_label_type,batch,grounding_specificity,grounding_specificity_label,grounding_specificity_label_type,verifiability,verifiability_label,verifiability_label_type,helpfulness,helpfulness_label,helpfulness_label_type,professional_tone,professional_tone_label,professional_tone_label_type,valid_point,valid_point_label,valid_point_label_type,addressed_to_author,addressed_to_author_label,addressed_to_author_label_type
"- There were too many missing details (for example, what is the distribution of people with ‘free off speech’ attitudes? What is the correlation of the chosen scale item in the breadth-of-posts study?). On a minor note, many important points are relegated to the appendix.",ARR_2022_60_review,ARR_2022,"- Underdefined and conflation of concepts - Several important details missing - Lack of clarity in how datasets were curated prevents one from assessing their validity - Too many results which are not fully justified or explained
This is a very important, interesting, and valuable paper with many positives. First and foremost, annotators’ backgrounds are an important factor and should be taken into consideration when designing datasets for hate speech, toxicity, or related phenomena. The paper not only accounts for demographic variables as done in previous work but other attitudinal covariates like attitude towards free speech that are well-chosen. The paper presents two well-thought out experiments and presents results in a clear manner which contain several important findings.
It is precisely because of the great potential and impact of this paper, I think the current manuscript requires more consideration and fine-tuning before it can reach its final stage. At this point, there seems to be a lack of important details that prevent me from fully gauging the paper’s findings and claims. Generally: - There were too many missing details (for example, what is the distribution of people with ‘free off speech’ attitudes? What is the correlation of the chosen scale item in the breadth-of-posts study?). On a minor note, many important points are relegated to the appendix.
- Certain researcher choices and experiment design choices were not justified (for example, why were these particular scales used?)
- The explanation of the creation of the breadth-of-posts was confusing. How accurate was the classification of AAE dialect and vulgarity? - The toxicity experiment was intriguing but there was too little space to be meaningful.
More concretely, - With regard to terminology and concepts, toxicity and hate speech may be related but are not the same thing. The instructions to the annotators seem to conflate both. The paper also doesn’t present a concrete definition of either. While it might seem redundant or trivial, the wording to annotators plays an important role and can confound the results presented here.
- Why were the particular scales chosen for obtaining attitudes? Particularly, for empathy there are several scale items [1], so why choose the Interpersonal Reactivity Index?
- What was the distribution of the annotator’s background with respect to the attitudes? For example, if there are too few ‘free of speech’ annotators, then the results shown in Table 3, 4, etc are underpowered. - What were the correlations of the chosen attitudinal scale item for the breadth-of-posts study with the toxicity in the breadth-of-workers study?
- How accurate are the automated classification in the breadth-of-posts experiment, i.e., how well does the states technique differentiate identity vs non-identity vulgarity or AAE language for that particular dataset. Particularly, how can it be ascertained whether the n-word was used as a reclaimed slur or not? - In that line, Section 6 discusses perceptions of vulgarity, but there are too many confounds here. Using b*tch in a sentence can be an indication of vulgarity and toxicity (due to sexism).
- In my opinion, the perspective API experiment was interesting but rather shallow. My suggestion would be to follow up on it in more detail in a new paper rather than include it in this one. The newly created space could be used to enter the missing details mentioned in the review. - Finally, given that the paper notes that MTurk tends to be predominantly liberal and the authors (commendably) took several steps to ensure greater participation from conservatives, I was wondering if ‘typical’ hate speech datasets are annotated by more homogenous annotators compared to the sample in this paper. What could be the implications of this? Do this paper's findings then hold for existing hate speech datasets?
Besides these, I also note some ethical issues in the ‘Ethical Concerns’ section. To conclude, while my rating might seem quite harsh, I believe this work has great potential and I hope to see it enriched with the required experimental details.
References: [1] Gerdes, Karen E., Cynthia A. Lietz, and Elizabeth A. Segal. "" Measuring empathy in the 21st century: Development of an empathy index rooted in social cognitive neuroscience and social justice."" Social Work Research 35, no. 2 (2011): 83-93.","{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['4', '5', '4']}",,,1,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['4', '1', '3']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['3', '1', 'X']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['2', '5', '4']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['0', '1', '1']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['0', '1', '0']}",,,"{'annotators': [], 'labels': []}",,
"- Section 4.3, model parameters and training. Explain how you achieved the values to the many parameters: word embedding size, GRU hidden states, alpha, beta 1 and 2, epsilon, beam size.",ACL_2017_333_review,ACL_2017,"There are some few details on the implementation and on the systems to which the authors compared their work that need to be better explained. - General Discussion: - Major review: - I wonder if the summaries obtained using the proposed methods are indeed abstractive. I understand that the target vocabulary is build out of the words which appear in the summaries in the training data. But given the example shown in Figure 4, I have the impression that the summaries are rather extractive.
The authors should choose a better example for Figure 4 and give some statistics on the number of words in the output sentences which were not present in the input sentences for all test sets.
- page 2, lines 266-272: I understand the mathematical difference between the vector hi and s, but I still have the feeling that there is a great overlap between them. Both ""represent the meaning"". Are both indeed necessary? Did you trying using only one of them.
- Which neural network library did the authors use for implementing the system?
There is no details on the implementation.
- page 5, section 44: Which training data was used for each of the systems that the authors compare to? Diy you train any of them yourselves?
- Minor review: - page 1, line 44: Although the difference between abstractive and extractive summarization is described in section 2, this could be moved to the introduction section. At this point, some users might no be familiar with this concept.
- page 1, lines 93-96: please provide a reference for this passage: ""This approach achieves huge success in tasks like neural machine translation, where alignment between all parts of the input and output are required.""
- page 2, section 1, last paragraph: The contribution of the work is clear but I think the authors should emphasize that such a selective encoding model has never been proposed before (is this true?). Further, the related work section should be moved to before the methods section.
- Figure 1 vs. Table 1: the authors show two examples for abstractive summarization but I think that just one of them is enough. Further, one is called a figure while the other a table.
- Section 3.2, lines 230-234 and 234-235: please provide references for the following two passages: ""In the sequence-to-sequence machine translation (MT) model, the encoder and decoder are responsible for encoding input sentence information and decoding the sentence representation to generate an output sentence""; ""Some previous works apply this framework to summarization generation tasks.""
- Figure 2: What is ""MLP""? It seems not to be described in the paper.
- page 3, lines 289-290: the sigmoid function and the element-wise multiplication are not defined for the formulas in section 3.1.
- page 4, first column: many elements of the formulas are not defined: b (equation 11), W (equation 12, 15, 17) and U (equation 12, 15), V (equation 15).
- page 4, line 326: the readout state rt is not depicted in Figure 2 (workflow).
- Table 2: what does ""#(ref)"" mean?
- Section 4.3, model parameters and training. Explain how you achieved the values to the many parameters: word embedding size, GRU hidden states, alpha, beta 1 and 2, epsilon, beam size.
- Page 5, line 450: remove ""the"" word in this line? "" SGD as our optimizing algorithms"" instead of ""SGD as our the optimizing algorithms.""
- Page 5, beam search: please include a reference for beam search.
- Figure 4: Is there a typo in the true sentence? "" council of europe again slams french prison conditions"" (again or against?)
- typo ""supper script"" -> ""superscript"" (4 times)","{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['5', '5', '5']}",,,1,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['5', '5', '5']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['X', '5', 'X']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['5', '5', '5']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '1', '1']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '0', '0']}",,,"{'annotators': [], 'labels': []}",,
"- The differences in results in Table 2 are very small that make the interpretation of results rather difficult. Furthermore, it is then unclear which proposed methods are really effective.",ARR_2022_269_review,ARR_2022,"- It is not clear for me about the novelty of the proposed methods. - The proposed method relies on the quality of translation systems. - I'm not sure whether the differences of some results are significant (see Table 1). - The differences in results in Table 2 are very small that make the interpretation of results rather difficult. Furthermore, it is then unclear which proposed methods are really effective.
- Did the authors run their experiments several times with different random initializations?","{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '5', '1']}",,,1,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['3', '1', '5']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['5', 'X', '4']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['4', '1', '2']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '0', '1']}",,,"{'annotators': ['DVRTnFRi', 'boda'], 'labels': ['1', '0']}",,,"{'annotators': [], 'labels': []}",,
"- While the language has been improved, there are still some awkward phrases. I suggest the authors have the paper reviewed by a native English speaker.",ARR_2022_331_review,ARR_2022,"- While the language has been improved, there are still some awkward phrases. I suggest the authors have the paper reviewed by a native English speaker.
1) Line 29: ""To support the GEC study..."". Your study or GEC in general? Maybe you mean ""To support GEC research/development/solutions""?
2) Line 53: ""Because, obviously, there are usually multiple acceptable references with close meanings for an incorrect sentence, as illustrated by the example in Table 1."" This is not a well-formed sentence. Rewrite or attach to the previous one.
3) Line 59: Choose either ""the model will be unfairly *penalised*"" or ""*performance* will be unfairly underestimated"".
4) Line 83: ""... for detailed illustration"". ???
5) Line 189: ""To facilitate illustration, our guidelines adopt a two-tier hierarchical error taxonomy..."" You said earlier that you adopted the ""direct re-rewriting"" approach so why does your annotation guidelines provide a taxonomy or errors? Is it just to make sure that all ocurrences of the same types of errors are handled equally by all annotators? Weren't they free to correct the sentences in any way they wanted as you stated in lines 178-180?
6) Line 264: ""We attribute this to our strict control of the over-correction phenomenon."" What do you mean exactly? The original annotation considered some sentences to be erroneous while your guidelines did not?
7) Line 310: ""Since it is usually ..."" This is not a well-formed sentence. Rewrite or attach to the previous one.
8) Line 399: ""... and only use the erroneous part for training"" Do you mean you discard correct sentences? As it stands, it sounds as if you only kept the incorrect sentences without their corrections. You might want to make this clearer.
9) ""... which does not need error-coded annotation"". This is not exactly so. ERRANT computes P, R and F from M2 files containing span-level annotations. For English, it is able to automatically generate these annotations from parallel text using an alignment and edit extraction algorithm. In the case of Chinese, you did this yourself. So while it is not necessary to manually annotate the error spans, you do need to extract them somehow before ERRANT can compute the measures.
10) Table 5: ""For calculating the human performance, each submitted result is considered as a sample if an annotator submits multiple results."" I am afraid this does not clearly explain how human performance was computed. Each annotator against the rest? Averaged across all of them? How are multiple corrections from a single annotator handled? If you compared each annotation to the rest but the systems were compared to all the annotations, then I believe human evaluation is an underestimation. This is still not clear.
11) Line 514: ""The word-order errors can be identified by heuristic rules following Hinson et al. (2020)."" Did you classify the errors in the M2 files before feeding them into ERRANT?
12) Line 544: ""... we remove all extra references if a sentence has more than 2 gold-standard references"". Do you remove them randomly or sequentially?
13) TYPOS/ERRORS: ""them"" -> ""this approach""? ( line 72), ""both formal/informal"" -> ""both formal and informal"" (line 81), ""supplement"" -> ""supply""? ( lines 89, 867), ""from total"" -> ""from *the* total"" (line 127), ""Finally, we have obtained 7,137 sentences"" -> ""In the end, we obtained 7,137 sentences"" (line 138), ""suffers from"" -> ""poses"" (line 155), ""illustration"" -> ""annotation""? ( line 189), ""Golden"" -> ""Gold"" (lines 212, 220, 221, 317), ""sentence numbers"" -> ""number of sentences"" (Table 3 caption), ""numbers (proportion)"" -> ""number (proportion)"" (Table 3 caption), ""averaged character numbers"" -> ""average number of characters"" (Table 3 caption), ""averaged edit numbers"" -> ""average number of edits"" (Table 3 caption), ""averaged reference numbers"" -> ""average number of references"" (Table 3 caption), ""in the parenthesis of the..."" -> ""in parentheses in the..."" (Table 3 caption), ""previous"" -> ""original""? ( line 262), ""use"" (delete, line 270), ""in *the* re-annotated"" (line 271), ""twice of that"" -> ""twice that"" (line 273), ""edit number"" -> ""number of edits"" (line 281), ""the sentence length"" -> ""sentence length"" (line 282), ""numbers"" -> ""number"" (lines 283, 297), ""numbers"" -> ""the number"" (line 295), ""Same"" -> ""Identical"" (line 298), ""calculated"" -> ""counted"" (line 299), ""the different"" -> ""different"" (Figure 1 caption), ""reference number"" -> ""number of references"" (line 305), ""for"" -> ""to"" (line 307), ""the descending"" -> ""descending"" (line 326), ""sentence numbers"" -> ""number of sentences"" (line 327), ""It"" -> ""This"" (line 331), ""annotate"" -> ""annotated"" (Figure 2 caption), ""limitation"" -> ""limitations"" (line 343), ""SOTA"" -> ""state-of-the-art (SOTA)"" (line 353), ""these"" -> ""this"" (line 369), ""where"" -> ""on which"" (line 393), ""hugging face"" -> ""Hugging Face"" (431), ""these"" -> ""this"" (line 464), ""The"" -> ""A"" (line 466), ""reference number"" -> ""the number of references"" (Figure 3 caption), ""start"" -> ""have started"" (line 571), ""will be"" -> ""are"" (line 863), ""false"" -> ""incorrect""? ( line 865).","{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '5', '3']}",,,1,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '5', '1']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '5', '1']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '5', '3']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['0', '1', '1']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['0', '0', '0']}",,,"{'annotators': [], 'labels': []}",,
"1) The character tri-gram LSTM seems a little unmotivated. Did the authors try other character n-grams as well? As a reviewer, I can guess that character tri-grams roughly correspond to morphemes, especially in Semitic languages, but what made the authors report results for 3-grams as opposed to 2- or 4-? In addition, there are roughly 26^3=17576 possible distinct trigrams in the Latin lower-case alphabet, which is enough to almost constitute a word embedding table. Did the authors only consider observed trigrams? How many distinct observed trigrams were there?",ACL_2017_477_review,ACL_2017,"1) The character tri-gram LSTM seems a little unmotivated. Did the authors try other character n-grams as well? As a reviewer, I can guess that character tri-grams roughly correspond to morphemes, especially in Semitic languages, but what made the authors report results for 3-grams as opposed to 2- or 4-? In addition, there are roughly 26^3=17576 possible distinct trigrams in the Latin lower-case alphabet, which is enough to almost constitute a word embedding table. Did the authors only consider observed trigrams? How many distinct observed trigrams were there?
2) I don't think you can meaningfully claim to be examining the effectiveness of character-level models on root-and-pattern morphology if your dataset is unvocalised and thus doesn't have the 'pattern' bit of 'root-and-pattern'. I appreciate that finding transcribed Arabic and Hebrew with vowels may be challenging, but it's half of the typology.
3) Reduplication seems to be a different kind of phenomenon to the other three, which are more strictly morphological typologies. Indonesian and Malay also exhibit various word affixes, which can be used on top of reduplication, which is a more lexical process. I'm not sure splitting it out from the other linguistic typologies is justified.
- General Discussion: 1) The paper was structured very clearly and was very easy to read.
2) I'm a bit puzzled about why the authors chose to use 200 dimensional character embeddings. Once the dimensionality of the embedding is greater than the size of the vocabulary (here the number of characters in the alphabet), surely you're not getting anything extra?
------------------------------- Having read the author response, my opinions have altered little. I still think the same strengths and weakness that I have already discussed hold.","{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['3', '5', '5']}",,,1,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['4', '5', '4']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['X', '5', '5']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['3', '4', '5']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '1', '1']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '0', '0']}",,,"{'annotators': [], 'labels': []}",,
- It is difficult to determine the impact of sense disambiguation order without comparison to other unsupervised entity linking methods.,ACL_2017_104_review,ACL_2017,"- Comparison with ALIGN could be better. ALIGN used content window size 10 vs this paper's 5, vector dimension of 500 vs this paper's 200. Also its not clear to me whether N(e_j) includes only entities that link to e_j. The graph is directed and consists of wikipedia outlinks, but is adjacency defined as it would be for an undirected graph? For ALIGN, the context of an entity is the set of entities that link to that entity. If N(e_j) is different, we cannot tell how much impact this change has on the learned vectors, and this could contribute to the difference in scores on the entity similarity task. - It is sometimes difficult to follow whether ""mention"" means a string type, or a particular mention in a particular document. The phrase ""mention embedding"" is used, but it appears that embeddings are only learned for mention senses.
- It is difficult to determine the impact of sense disambiguation order without comparison to other unsupervised entity linking methods. - General Discussion:","{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '2', '1']}",,,1,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '3', '1']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['X', '2', '1']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['2', '1', '1']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '0', '1']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['0', '1', '0']}",,,"{'annotators': [], 'labels': []}",,
"2. A minor point would be that few-shot would be a more realistic setup for that task, as domain-specific TODOs are easy to acquire, however I agree that the current setup is adequate as well.",ARR_2022_89_review,ARR_2022,"1. The experiments are held on a private datasets and the exact setup is impossible to reproduce.
2. A minor point would be that few-shot would be a more realistic setup for that task, as domain-specific TODOs are easy to acquire, however I agree that the current setup is adequate as well.
3. More error analysis could be useful, especially on the public dataset, as their data could be included without any restrictions, e.g., error types/examples? patterns? Examples when non-contextualized embeddings outperform contextualized ones, or even LITE?
I urge the authors to release at least some part of the dataset to the wider public, or under some end user-agreement.
Comments: 1. I suggest the authors to focus their comparison on word2vec baselines (currently in appendix), instead of Sentence-BERT, as the latter does not show good performance on the short texts. It seems that non-contextualized embeddings are more suitable for the task.
2. Maybe it makes more sense to try out models pre-trained on conversations, e.g., text from Twitter or natural language conversations.","{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['3', '5', '4']}",,,1,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['3', '5', '2']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['5', '5', '3']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['5', '5', '2']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '1', '1']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '0', '0']}",,,"{'annotators': [], 'labels': []}",,
- From Figure 3 it is not clear to me how ZX is the most similar domain to Source. Grouping the bars by domain instead of role might be better (because we can compare the shapes). It may also be helpful to leverage some quantitative measure (e.g. cross entropy).,ARR_2022_65_review,ARR_2022,"1. The paper covers little qualitative aspects of the domains, so it is hard to understand how they differ in linguistic properties. For example, I think it is vague to say that the fantasy novel is more “canonical” (line 355). Text from a novel may be similar to that from news articles in that sentences tend to be complete and contain fewer omissions, in contrast to product comments which are casually written and may have looser syntactic structures. However, novel text is also very different from news text in that it contains unusual predicates and even imaginary entities as arguments. It seems that the authors are arguing that syntactic factors are more significant in SRL performance, and the experimental results are also consistent with this. Then it would be helpful to show a few examples from each domain to illustrate how they differ structurally.
2. The proposed dataset uses a new annotation scheme that is different from that of previous datasets, which introduces difficulties of comparison with previous results. While I think the frame-free scheme is justified in this paper, the compatibility with other benchmarks is an important issue that needs to be discussed. It may be possible to, for example, convert frame-based annotations to frame-free ones. I believe this is doable because FrameNet also has the core/non-core sets of argument for each frame. It would also be better if the authors can elaborate more on the relationship between this new scheme and previous ones. Besides eliminating the frame annotation, what are the major changes to the semantic role labels?
- In Sec. 3, it is a bit confusing why there is a division of source domain and target domain. Thus, it might be useful to mention explicitly that the dataset is designed for domain transfer experiments.
- Line 226-238 seem to suggest that the authors selected sentences from raw data of these sources, but line 242-244 say these already have syntactic information. If I understand correctly, the data selected is a subset of Li et al. (2019a)’s dataset. If this is the case, I think this description can be revised, e.g. mentioning Li et al. (2019a) earlier, to make it clear and precise.
- More information about the annotators would be needed. Are they all native Chinese speakers? Do they have linguistics background?
- Were pred-wise/arg-wise consistencies used in the construction of existing datasets? I think they are not newly invented. It is useful to know where they come from.
- In the SRL formulation (Sec. 5), I am not quite sure what is “the concerned word”. Is it the predicate? Does this formulation cover the task of identifying the predicate(s), or are the predicates given by syntactic parsing results?
- From Figure 3 it is not clear to me how ZX is the most similar domain to Source. Grouping the bars by domain instead of role might be better (because we can compare the shapes). It may also be helpful to leverage some quantitative measure (e.g. cross entropy).
- How was the train/dev/test split determined? This should be noted (even if it is simply done randomly).","{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['5', '5', '4']}",,,1,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['4', '5', '5']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['X', '5', '4']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['3', '5', '4']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '1', '1']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['0', '1', '0']}",,,"{'annotators': [], 'labels': []}",,
"5. The authors may choose to insert into Figure 1 the explicit ""first layer"", ""second layer"" and ""third layer"" labels they use in the accompanying text.",ACL_2017_37_review,ACL_2017,"Weak results/summary of ""side-by-side human"" comparison in Section 5. Some disfluency/agrammaticality.
- General Discussion: The article proposes a principled means of modeling utterance context, consisting of a sequence of previous utterances. Some minor issues: 1. Past turns in Table 1 could be numbered, making the text associated with this table (lines 095-103) less difficult to ingest. Currently, readers need to count turns from the top when identifying references in the authors' description, and may wonder whether ""second"", ""third"", and ""last"" imply a side-specific or global enumeration.
2. Some reader confusion may be eliminated by explicitly defining what ""segment"" means in ""segment level"", as occurring on line 269. Previously, on line 129, this seemingly same thing was referred to as ""a sequence-sequence [similarity matrix]"". The two terms appear to be used interchangeably, but it is not clear what they actually mean, despite the text in section 3.3. It seems the authors may mean ""word subsequence"" and ""word subsequence to word subsequence"", where ""sub-"" implies ""not the whole utterance"", but not sure.
3. Currently, the variable symbol ""n"" appears to be used to enumerate words in an utterance (line 306), as well as utterances in a dialogue (line 389). The authors may choose two different letters for these two different purposes, to avoid confusing readers going through their equations.
4. The statement ""This indicates that a retrieval based chatbot with SMN can provide a better experience than the state-of-the-art generation model in practice."" at the end of section 5 appears to be unsupported. The two approaches referred to are deemed comparable in 555 out of 1000 cases, with the baseline better than the proposed method in 238 our of the remaining 445 cases.
The authors are encouraged to assess and present the statistical significance of this comparison. If it is weak, their comparison permits to at best claim that their proposed method is no worse (rather than ""better"") than the VHRED baseline.
5. The authors may choose to insert into Figure 1 the explicit ""first layer"", ""second layer"" and ""third layer"" labels they use in the accompanying text.
6. Their is a pervasive use of ""to meet"" as in ""a response candidate can meet each utterace"" on line 280 which is difficult to understand.
7. Spelling: ""gated recurrent unites""; ""respectively"" on line 133 should be removed; punctuation on line 186 and 188 is exchanged; ""baseline model over"" -> ""baseline model by""; ""one cannot neglects"".","{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '5', '5']}",,,1,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '4', '5']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '4', 'X']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['2', '3', '5']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['0', '0', '1']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['0', '1', '0']}",,,"{'annotators': [], 'labels': []}",,
- Improvements on Multi30k are quite small (< 1 BLEU) and reported over single runs and measuring BLEU scores alone. It would be good to report averages over multiple runs and report some more modern metrics as well like COMET or BLEURT.,ARR_2022_338_review,ARR_2022,"- The unsupervised translation tasks are all quite superficial, taking existing datasets of similar languages (e.g. En-De Multi30k, En-Fr WMT) and editing them to an unsupervised MT corpus.
- Improvements on Multi30k are quite small (< 1 BLEU) and reported over single runs and measuring BLEU scores alone. It would be good to report averages over multiple runs and report some more modern metrics as well like COMET or BLEURT.
- It is initially quite unclear from the writing where the sentence-level representations come from. As they are explicitly modeled, they need supervision from somewhere. The constant comparison to latent variable models and calling these sentence representations latent codes does not add to the clarity of the paper. I hope this will be improved in a revision of the paper.
Some typos: - 001: ""The latent variables"" -> ""Latent variables"" - 154: ""efficiently to compute"" -> ""efficient to compute"" - 299: ""We denote the encoder and decoder for encoding and generating source-language sentences as the source encoder and decoder"" - unclear - 403: ""langauge"" -> ""language""","{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['5', '5', '5']}",,,1,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['5', '5', '3']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['X', '5', 'X']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['5', '5', '5']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '1', '1']}",,,"{'annotators': ['fZav2G06', 'DVRTnFRi', 'boda'], 'labels': ['1', '1', '0']}",,,"{'annotators': [], 'labels': []}",,
