review_id,source,focused_review,review_point,human_actionability,human_specificity,human_verifiability,human_politeness,llm_actionability,llm_specificity,llm_politeness,Notes,actionability_tim,specificity_tim,verifiability_tim,politness_tim,Notes Tim,llm_verifiability,llm_feedback_verifiability
905,ICLR_2023_2312,"Weaknesses
1. Literature Review
The paper regrettably fails to acknowledge a vast body of related literature, on (i) intention-conditioned trajectory prediction, (ii) variational graph methods for trajectory prediction, and (iii) models that explicitly model social interactions for forecasting. At the very least, these references ought to be mentioned and discussed for a diligent representation of the research space, even if the methods are not directly compared against.
(i) Intention-Conditioned Trajectory Prediction:
[R1, R2, R3] talk about intention-conditioned trajectory prediction for autonomous vehicles. Apart from the data the methods are applied to, the architectures can be applicable to, and are relevant for, the problem being addressed here. Crucially, the DROGON paper defines intention explicitly (more on this in Weakness 2. below).
(ii) Variational Graph Methods:
[R4] from the Neurips I Can't Believe It's Not Better Workshop explicitly deals with graph conditional variational methods for multi-agent trajectory prediction. The results in that paper are very relevant for this research area and should be included.
(iii) Encoding Social Interactions:
Graph and other stochastic methods that encode social interactions between agents have been long applied to trajectory and behavior forecasating problems. [R5] explicitly incorporates a spatiotemporal graph for incorporating social interactions between agents. [R6] more recently explicitly takes a meta-learning approach for modeling the dynamics unique to a group for probabilistic forecasting. A sports team is a group, and if each team is viewed as having unique social dynamics resulting from the team's strategy then [R6]'s core modeling idea is directly applicable. The cue in [R6] terms is simply player location here. Their modeling of social influence of other agents is also permutation invariant, a limitation this paper claims about existing methods. References:
[R1] DROGON: A Trajectory Prediction Model based on Intention-Conditioned Behavior Reasoning - Choi et al.
[R2] Intention-Driven Trajectory Prediction for Autonomous Driving - Fan et al.
[R3] LOKI: Long Term and Key Intentions for Trajectory Prediction - Girase et al.
[R4] Graph Conditional Variational Models: Too Complex for Multiagent Trajectories? - Rudolph et al.
[R5] Social-STGCNN: A Social Spatio-Temporal Graph Convolutional Neural Network for Human Trajectory Prediction - Mohamed et al.
[R6] Social Processes: Self-Supervised Meta-Learning over Conversational Groups for Forecasting Nonverbal Social Cues - Raman et al.
2. Unsupported claims and definitions
The paper doesn't actually define agent intentions and causality in the specific setting, so there is no reasonable way to evaluate whether the proposed method actually models intentions. The intention-conditioned trajectory works I've mentioned talk about intention over long- and short- time horizons, where e.g. the former is in terms of goal destinations. Here the paper is talking about team sports with player intentions but simply states that this results from communication. What does intention mean here? Also, the paper claims to model causal relationships, but I can't see any explicit causal factors modeled of learned in the graph structure. There might be other exogenous variables explaining trajectory behavior.
3. Notation
There are a few notational errors. For instance, the variable used for the sequence cannot be the same as the individual elements: x < t = [ x 1 , . . . ]
. See [R4] for this. In many places there exist grammatical errors and incomplete sentences. Please do a pass to fix these.","2. Unsupported claims and definitions The paper doesn't actually define agent intentions and causality in the specific setting, so there is no reasonable way to evaluate whether the proposed method actually models intentions. The intention-conditioned trajectory works I've mentioned talk about intention over long- and short- time horizons, where e.g. the former is in terms of goal destinations. Here the paper is talking about team sports with player intentions but simply states that this results from communication. What does intention mean here? Also, the paper claims to model causal relationships, but I can't see any explicit causal factors modeled of learned in the graph structure. There might be other exogenous variables explaining trajectory behavior.",0.0,1.0,0.0,0.0,nan,nan,nan,Do we need to include the full review as well?,1.0,1.0,-1.0,0.0,nan,-1,"the review point contains several claims, such as the lack of definition for agent intentions and causality, and the assertion that the paper does not model causal relationships explicitly. however, the reviewer does not provide any justification or attempt to verify these claims. they do not reference any specific sections of the paper or provide examples to support their assertions. the review point lacks any explanation or evidence to substantiate the claims made, which is necessary for a score of 1. therefore, the review point falls into the category of making claims without providing any supporting information or justification."
4732,NIPS_2020_1809,"- Note sure whether the authors intend to release code also upon acceptance but the statement in line 270 is a little unclear. If code is only available during the review phase, this is a clear minus. - The degree of novelty is pretty small as the framework is well known and only a tiny aspect is changed. - The paper contains a lot of known material on the one hand but has a lot of references to the Appendix which makes the paper a little hard to digest. I would suggest to remove textbook material on EP in favor of including some more material on the Wasserstein distance. - That said, I'm not sure whether the page on the locality property is enlightning and really surprising. This could in principle be part of the Appendix and leave more space for an algorithmic discussion of the required computations for the variance update. - EP suffers from stability problems when the moment updates are not numerically accurate e.g. as a result of quadrature approximations. I'm missing a discussion on the numerical aspects of the L2 Wasserstein distance computations. - I'm missing a discussion on the marginal likelihood and its accuracy. - I'm missing a discussion of whether and how further derivatives of the site update can be computed in order to perform marginal likelihood hyperparameter optimization. - I'm missing a discussion why values for p different from 2 are not interesting to consider. - The manuscript does not provide evidence whether the proposed divergence measure is better suited in cases where EP has ""deficiencies"" according to the authors. MCMC experiments have shown that EP with KL is surprisingly accurate. The paper lacks a comparison in this respect. The missing convergence proof for EP is clearly an issue but the 2nd and 3rd paragraph seem as if EP is a buggy approach per se. Please provide concise and concrete examples where EP with KL is problematic and demonstrate that EP with WD is any better.",- I'm missing a discussion why values for p different from 2 are not interesting to consider.,0.0,1.0,0.0,0.0,nan,nan,nan,nan,1.0,1.0,-1.0,0.0,nan,0,"the review point ""i'm missing a discussion why values for p different from 2 are not interesting to consider"" does not contain any claims. it is a general statement indicating the absence of a discussion in the paper, which is a factual observation. the reviewer is not making a subjective judgment or suggestion but is instead pointing out a missing element without expressing an opinion or providing justification. therefore, this review point does not require any verification or justification."
612,ICLR_2021_971,"Weaknesses
The proposed algorithm is not parameter-free (unlike SNIP, which is virtually parameter-free), is quite complicated (and I imagine difficult to implement), and there is little justification for certain components of the method, e.g., the dynamic scaling function (and choices of lambda), whether the simplification of m_{t-1} = … = m_{T} is mild enough. It is not clear to me how a practitioner can run the proposed algorithm in a parameter-free way without having to conduct ablation studies of their own first, especially since, as the authors note, “We observed that the penalty parameter was difficult to tune properly, either being too aggressive at pruning, or too passive” as the justification for the dynamic scaling function
Parts of the paper are too dense and notation-heavy, and this hurts readability and understanding significantly, e.g., Lemma 1, paragraph regarding the introduction of the saliency function on pg. 2.
The presented experimental results are not very compelling. For example, in Table 3, we see that BEP 1e-4 achieves a ~.4% improvement over SNIP and GRASP, at the cost of ~7-8.4 more hours of training time. This calls into question the effectiveness of the proposed approach -- which is, at the end of the day, meant to speed up training + pruning by removing unnecessary components of the network early on. Clarity
The paper is reasonably well-written and organized overall. It was clear that the authors compressed some of the mathematical expressions/lemmas (e.g., statement of Lemma 1), which is somewhat understandable given the page limit, but this hurt readability and understandability.","2. The presented experimental results are not very compelling. For example, in Table 3, we see that BEP 1e-4 achieves a ~.4% improvement over SNIP and GRASP, at the cost of ~7-8.4 more hours of training time. This calls into question the effectiveness of the proposed approach -- which is, at the end of the day, meant to speed up training + pruning by removing unnecessary components of the network early on. Clarity The paper is reasonably well-written and organized overall. It was clear that the authors compressed some of the mathematical expressions/lemmas (e.g., statement of Lemma 1), which is somewhat understandable given the page limit, but this hurt readability and understandability.",0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,There are two points in here,1,"the review point contains several claims. firstly, it claims that the experimental results are not compelling, specifically highlighting the trade-off between improvement and training time in table 3. this is a subjective judgment about the effectiveness of the proposed approach. secondly, it claims that the clarity of the paper is affected by the compression of mathematical expressions, which impacts readability and understandability. the reviewer attempts to justify the first claim by providing specific data from table 3, comparing bep 1e-4 with snip and grasp, and discussing the trade-off between improvement and training time. for the second claim, the reviewer explains that the compression of expressions is understandable due to page limits, but still negatively affects clarity. these attempts to justify the claims meet the criteria for verifiability."
3649,NIPS_2020_791,There are several issues here which I would like the authors to address: * Could the authors comment on the use percentile rank? I understand the reasoning behind it more or less but this is not explained in the paper at all. * What is the relationship between the CDF and percentile rank in this case? is there a way to express one with the other? * The experiments show that in a controlled setting (where a clear target patch and template patch are defined) it is possible to explain several illusions. One thing which is common to all the illusions is that the target patch is flat - what about cases where the patch to explain may have some structure? like the Kanitze triangle? this would make a much more convincing case for the method. * The authors show that the percentile rank correlates with the perceived *relative* lightness (for example) but they do not show if this is actually at the same scale of perception - do subjects report the same change in lightness perception? (I'm sure these numbers can be found in literature). * Only one generative model is tested here - do results change with other models? say a simple GMM or a sparse coding based one?,* What is the relationship between the CDF and percentile rank in this case? is there a way to express one with the other?,0.0,1.0,0.0,0.0,nan,nan,nan,nan,0.0,1.0,1.0,0.0,"[A] Leaning to give a 1 here.
[V] I am assuming that ""in this case"" makes it clear to the author to which part the review is referring to, even though it is missing here. ",0,"the review point ""what is the relationship between the cdf and percentile rank in this case? is there a way to express one with the other?"" does not contain any claims. it is a general question asking for clarification or further explanation regarding the relationship between the cdf and percentile rank. the reviewer does not make any subjective statements, suggestions, or requests for changes, nor do they provide any opinion or stand that would require justification. therefore, this review point is a normal sentence that does not need verification."
4288,NIPS_2020_251,"* The NF assumption was not discussed as compared to a standard SSM which uses additive measurement noise. Placing the emission noise *before* the nonlinearity is a crucial move; otherwise filtering is not tractable. I would have appreciated further discussion of the impact of this. It's possible that this technique can be applied as a drop-in replacement in many models to avoid awkward approximations such as EKF, UKF and PF; however this conclusion is not immediate from the work presented in this paper. * As a simple example, consider a univariate example where $f$ is a sigmoid, and the true $z = -5$, hence $\E[y] ≈ 0$. If $y$ is observed with additive noise of +0.2, the inferred $z = f^{-1}(0.2) ≈ -1.4$, which may cause substantial problems for inference and learning. * The qualitative experiments seemed particularly artificial; I did not learn much here beyond the fact that the implementation broadly seems to work. If these are indicative of a real-world problem, it would be helpful to make this clearer. * NKF does not show markedly better performance than the GP-Copula model in the main experiments.",* NKF does not show markedly better performance than the GP-Copula model in the main experiments.,-1.0,1.0,0.0,0.0,nan,nan,nan,nan,-1.0,1.0,-1.0,0.0,nan,0,"the review point ""nkf does not show markedly better performance than the gp-copula model in the main experiments"" is a factual statement about the results presented in the paper. it does not contain any subjective judgment, suggestion, or request for changes. the statement simply describes an observation that can be verified by looking at the experimental results in the paper. therefore, it does not require any justification or verification from the reviewer."
5529,NIPS_2020_1796,"While the result is interesting, many of the design decisions behind the models and training procedures seemed poorly motivated and discussion on their nuances lacking. - Why represent the rewards as a function of a VAE used to encode exploratory frames in the environment? How does more or less exploration impact the effect of the auxiliary rewards learned this way? - What is the impact of environment ordering during training? Are there any curriculum effects at play? Why train with such a curriculum in the first place? An ablation demonstrating the necessity of this approach would contextualize this decision. - The language stating ""the agent learns R_AUP"" was confusing (Line 138). The reviewer believes this language was meant to describe ""training the Q_i functions"" corresponding to each R_i. This confusing language was used in the caption for the reward learning curves in the supplementary materials, which seems supported by the statement starting on Line 202: ""In the supplementary material..."" - Some key concepts are not defined, for example ""initial state reachability"" (Line 42). - It seems the claim that safe reinforcement learning focuses on just avoiding negative side effects during training is inaccurate. As stated in the abstract of a paper the authors cite (García et al, 2015), safe RL is also concerned with safety at deployment. - The language is often unclear, e.g. Line 211: ""AUP stops moving entirely."" The reviewer believes this is referring to the AUP learning a policy in which the agent remains immobile. - The discussion around the theoretical results (3.2) does not add much insight to the experiments and results presented in the paper. - The contribution is not very novel, as it is simply applying AUP as presented in Turner et al, 2020 to another environment, with little to no modification. - Not clear why Lines 55-57 are included in the related work, as they do not seem particularly relevant to safe RL.","- The language is often unclear, e.g. Line 211: ""AUP stops moving entirely."" The reviewer believes this is referring to the AUP learning a policy in which the agent remains immobile.",0.0,1.0,1.0,0.0,nan,nan,nan,nan,1.0,0.0,1.0,0.0,nan,-1,"the review point makes a claim that the language in the paper is often unclear, specifically citing an example from line 211. the reviewer suggests that the phrase ""aup stops moving entirely"" is ambiguous and implies that it refers to the aup learning a policy where the agent remains immobile. however, the reviewer does not provide any justification or attempt to verify this claim. they do not explain why they believe the language is unclear or why their interpretation of the phrase is valid. therefore, the review point contains a claim but lacks any supporting explanation or verification."
3368,NIPS_2020_1285,- Only one constraint value is selected for each environment (50% of the speed attained by an unconstrained PPO agent - how and why was 50% chosen?). I would be interested in seeing whether FOCOPS consistently exceeds performance and satisfies constraints compared to other methods for different constraint levels. - Only one constraint is used for the experiments. How would FOCOPS perform empirically when there are multiple constraints?,- Only one constraint is used for the experiments. How would FOCOPS perform empirically when there are multiple constraints?,0.0,1.0,0.0,0.0,nan,nan,nan,nan,1.0,1.0,-1.0,0.0,nan,0,"the review point ""only one constraint is used for the experiments. how would focops perform empirically when there are multiple constraints?"" does not contain any claims. it is a factual statement about the paper, noting that only one constraint was used in the experiments, followed by a question regarding the performance of focops with multiple constraints. this is a request for further information or clarification rather than a subjective statement or suggestion for change. therefore, it does not require any justification or verification."
2693,NIPS_2019_436,"Weaknesses 1. Proposed method is relatively simple extension - involves using typical prototype for class in addition to transformation of class word-embeddings. 2. The benefit of incorporating semantic information is largely in the 5-class, 1-shot learning case (3.5% Mini-Imagenet and 2.75% Tiered-Imagenet accuracy gain compared to state-of-the-art LEO applied to regular few-shot learning scenario) and there seems to be very little gain beyond that number of shots. Comments The proposed setting and method requires that word embeddings are known for all train and test classes. Is it a more realistic scenario for few-shot learning that word-embeddings are only available for train classes, as this removes requirement that model that can only be used to learn about concepts that we already have word-embeddings for? Is semantic information as defined in paper applicable to few-shot settings beyond image-classification?","2. The benefit of incorporating semantic information is largely in the 5-class, 1-shot learning case (3.5% Mini-Imagenet and 2.75% Tiered-Imagenet accuracy gain compared to state-of-the-art LEO applied to regular few-shot learning scenario) and there seems to be very little gain beyond that number of shots. Comments The proposed setting and method requires that word embeddings are known for all train and test classes. Is it a more realistic scenario for few-shot learning that word-embeddings are only available for train classes, as this removes requirement that model that can only be used to learn about concepts that we already have word-embeddings for? Is semantic information as defined in paper applicable to few-shot settings beyond image-classification?",0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,Multiple points in here,-1,"the review point contains several claims, such as questioning the realism of the scenario where word embeddings are known for all train and test classes, and whether semantic information is applicable beyond image classification. however, the reviewer does not provide any justification or attempt to verify these claims. they do not offer any evidence or reasoning to support their suggestions or questions, such as why the proposed scenario might be unrealistic or how semantic information could be applied in other contexts. therefore, the review point lacks verifiability as the claims are not substantiated with any form of explanation or validation."
4026,NIPS_2020_159,"UPDATE: Thank you for your response, which addressed most of my concerns. The only issue is that only controlling the number of leaves can still be problematic since the depth of the also matters [1]. [1] Reyzin L, Schapire RE. How boosting the margin can also boost classifier complexity, ICML 2006. ============================= I have several concerns and questions: 1. Line 97: what does “same size” mean? We know that in order to make a fair comparison, we must make sure that the model complexity of base learners is the same. For decision trees, does it mean the same number of leaves? To me, the best way could be just using a decision stump as a base learner. 2. The empirical results are also not convincing to me: 1) the results are only averaged over three runs, which is insufficient to me. 2) I would also like to see the standard deviations of the average accuracies. 3) The experiments are only evaluated on one data set. To make the conclusion more convicting, the author should make a comparison on more data sets. 4) I was also wondering if the conclusion still holds with other base learners. 3. We know that AdaBoost is just a special case of gradient boosting with the exponential loss. Therefore, my feeling is that the analysis is just about the gradient boosting with different loss functions, not the behavior of gradient boosting itself.","1. Line 97: what does “same size” mean? We know that in order to make a fair comparison, we must make sure that the model complexity of base learners is the same. For decision trees, does it mean the same number of leaves? To me, the best way could be just using a decision stump as a base learner.",1.0,1.0,-1.0,0.0,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,-1,"the review point contains a claim regarding the best way to ensure model complexity is the same for base learners, suggesting the use of a decision stump. this is a subjective statement that requires justification. however, the reviewer does not provide any explanation or attempt to verify why using a decision stump would be the best approach. the review point lacks any supporting information or reasoning to strengthen this claim. therefore, it does not meet the criteria for verifiability as the reviewer did not attempt to justify their claim."
1193,ICLR_2023_1294,"weaknesses:
1: The best feature of CLIP is the generality, that is, being able to recognize any image without pre-defined/fixed classes. MUST adapt the CLIP model to a specific dataset (which is the main purpose of this paper). A simple solution is claimed by authors in the limitation section: ""There exists a simple way to address this concern: gather unlabeled image from all the domains of interest, and perform MUST to learn a single model that can generalize to multiple domains."" It would be really great to have 1-2 such experiments to verify this hypothesis.
Minor weaknesses:
2: The paper does not reach out to theoretical backup to explain why MUST works.
3: Adding results on ImageNet-Sketch will further strengthen this paper.
4: A related work [1] is worth discussing.
[1]: Test-time training with masked autoencoders, NeurIPS 2022","4: A related work [1] is worth discussing. [1]: Test-time training with masked autoencoders, NeurIPS 2022",0.0,-1.0,-1.0,0.0,nan,nan,nan,nan,1.0,0.0,0.0,0.0,nan,-1,"the review point ""a related work [1] is worth discussing. [1]: test-time training with masked autoencoders, neurips 2022"" contains a claim that the related work is worth discussing. this is a subjective statement indicating the reviewer's opinion that this particular work should be included in the discussion. however, the reviewer does not provide any justification or explanation for why this related work is significant or relevant to the paper being reviewed. there is no attempt to validate the claim by mentioning how this related work connects to the paper's content or its potential impact on the paper's findings. therefore, the review point lacks verifiability as it does not include any supporting information to strengthen the claim."
