review_id,source,focused_review,review_point,human_actionability,human_specificity,human_verifiability,human_politeness,Notes,actionability_tim,specificity_tim,verifiability_tim,politness_tim,Notes Tim,llm_actionability,llm_feedback_actionability,llm_politeness,llm_feedback_politeness,llm_verifiability,llm_feedback_verifiability,llm_specificity,llm_feedback_specificity
905,ICLR_2023_2312,"Weaknesses
1. Literature Review
The paper regrettably fails to acknowledge a vast body of related literature, on (i) intention-conditioned trajectory prediction, (ii) variational graph methods for trajectory prediction, and (iii) models that explicitly model social interactions for forecasting. At the very least, these references ought to be mentioned and discussed for a diligent representation of the research space, even if the methods are not directly compared against.
(i) Intention-Conditioned Trajectory Prediction:
[R1, R2, R3] talk about intention-conditioned trajectory prediction for autonomous vehicles. Apart from the data the methods are applied to, the architectures can be applicable to, and are relevant for, the problem being addressed here. Crucially, the DROGON paper defines intention explicitly (more on this in Weakness 2. below).
(ii) Variational Graph Methods:
[R4] from the Neurips I Can't Believe It's Not Better Workshop explicitly deals with graph conditional variational methods for multi-agent trajectory prediction. The results in that paper are very relevant for this research area and should be included.
(iii) Encoding Social Interactions:
Graph and other stochastic methods that encode social interactions between agents have been long applied to trajectory and behavior forecasating problems. [R5] explicitly incorporates a spatiotemporal graph for incorporating social interactions between agents. [R6] more recently explicitly takes a meta-learning approach for modeling the dynamics unique to a group for probabilistic forecasting. A sports team is a group, and if each team is viewed as having unique social dynamics resulting from the team's strategy then [R6]'s core modeling idea is directly applicable. The cue in [R6] terms is simply player location here. Their modeling of social influence of other agents is also permutation invariant, a limitation this paper claims about existing methods. References:
[R1] DROGON: A Trajectory Prediction Model based on Intention-Conditioned Behavior Reasoning - Choi et al.
[R2] Intention-Driven Trajectory Prediction for Autonomous Driving - Fan et al.
[R3] LOKI: Long Term and Key Intentions for Trajectory Prediction - Girase et al.
[R4] Graph Conditional Variational Models: Too Complex for Multiagent Trajectories? - Rudolph et al.
[R5] Social-STGCNN: A Social Spatio-Temporal Graph Convolutional Neural Network for Human Trajectory Prediction - Mohamed et al.
[R6] Social Processes: Self-Supervised Meta-Learning over Conversational Groups for Forecasting Nonverbal Social Cues - Raman et al.
2. Unsupported claims and definitions
The paper doesn't actually define agent intentions and causality in the specific setting, so there is no reasonable way to evaluate whether the proposed method actually models intentions. The intention-conditioned trajectory works I've mentioned talk about intention over long- and short- time horizons, where e.g. the former is in terms of goal destinations. Here the paper is talking about team sports with player intentions but simply states that this results from communication. What does intention mean here? Also, the paper claims to model causal relationships, but I can't see any explicit causal factors modeled of learned in the graph structure. There might be other exogenous variables explaining trajectory behavior.
3. Notation
There are a few notational errors. For instance, the variable used for the sequence cannot be the same as the individual elements: x < t = [ x 1 , . . . ]
. See [R4] for this. In many places there exist grammatical errors and incomplete sentences. Please do a pass to fix these.","2. Unsupported claims and definitions The paper doesn't actually define agent intentions and causality in the specific setting, so there is no reasonable way to evaluate whether the proposed method actually models intentions. The intention-conditioned trajectory works I've mentioned talk about intention over long- and short- time horizons, where e.g. the former is in terms of goal destinations. Here the paper is talking about team sports with player intentions but simply states that this results from communication. What does intention mean here? Also, the paper claims to model causal relationships, but I can't see any explicit causal factors modeled of learned in the graph structure. There might be other exogenous variables explaining trajectory behavior.",0.0,0.0,1.0,0.0,Do we need to include the full review as well?,1.0,1.0,-1.0,0.0,nan,-1,"The review point does not provide any direct or explicit actionable comments that the authors should make. It merely points out the lack of definitions and the absence of explicit causal factors in the paper. The reviewer does not suggest any specific steps or experiments that could be done to address these issues. Instead, the reviewer leaves the authors to deduce what needs to be done, which is not helpful in guiding the authors to improve their paper. The review point does not fulfill the criteria of providing actionable comments, either explicit or implicit. Therefore, the score is -1.",0,"The review point provided is critical and constructive, focusing on the lack of definitions and support for the claims made in the paper. It points out the absence of explicit causal factors and the ambiguity of the term ""intention"" in the context of team sports. The reviewer's tone is neutral and factual, which aligns with the score rubric's criteria for a score of 0. The reviewer does not use any aggressive or disrespectful language, and the feedback is delivered in a manner that is neither rude nor overly polite. The reviewer's focus on the specific aspects of the paper, such as the lack of explicit causal factors and the ambiguity of the term ""intention,"" demonstrates a clear understanding of the paper's content and a constructive approach to providing feedback. Therefore, based on the score rubric, the review point is neutral and factual, and it does not fit well with the other two scores. So the overall score is 0.",-1,"The review point in question makes several claims, but it fails to provide any form of verification or justification for these claims. The reviewer points out that the paper does not define agent intentions and causality in the specific setting, which is a critical aspect of the paper's claims. The reviewer also questions the paper's claim to model causal relationships, stating that there are no explicit causal factors modeled or learned in the graph structure. However, the reviewer does not provide any logical deductions or references to external or internal sources that could support these claims.

The reviewer's comments on the intention-conditioned trajectory and the role of communication in team sports are also unsupported. The reviewer questions what intention means in this context, but does not offer any explanation or reference to support this claim.

In summary, the review point contains several unsupported claims, and it does not provide any logical deductions or references to external or internal sources that could verify these claims. Therefore, according to the score rubric, the review point does not meet the criteria for verifiability.",1,"The review point provided is quite specific and directly addresses the paper's treatment of agent intentions and causality. It clearly identifies the lack of definition and explicit modeling of causal relationships in the paper. The review point also points out the ambiguity in the paper's discussion of intention in the context of team sports. This specificity in the review point allows the authors to pinpoint exactly which parts of the paper are being critiqued. The review point's focus on the absence of explicit causal factors and the lack of clarity in the paper's discussion of intention demonstrates a clear understanding of the paper's content and the issues it raises. Therefore, the authors can be confident that the review point is addressing specific aspects of the paper. 

In contrast, a review point that lacks specificity would not allow the authors to identify which parts of the paper are being addressed. It would leave the authors unsure about the exact issues being raised. The review point's lack of specificity would not provide the authors with a clear direction for improvement or clarification. 

The review point's specificity aligns with the score rubric's criteria for a score of 1, as it allows the authors to confidently identify the parts of the paper being addressed by the review point. The review point's focus on the paper's treatment of agent intentions and causality, and its clear identification of the issues, demonstrates a high level of specificity. 

Therefore, based on the score rubric's criteria, the review point is highly specific and directly addresses the paper's content, making it clear which parts of the paper are being critiqued."
4732,NIPS_2020_1809,"- Note sure whether the authors intend to release code also upon acceptance but the statement in line 270 is a little unclear. If code is only available during the review phase, this is a clear minus. - The degree of novelty is pretty small as the framework is well known and only a tiny aspect is changed. - The paper contains a lot of known material on the one hand but has a lot of references to the Appendix which makes the paper a little hard to digest. I would suggest to remove textbook material on EP in favor of including some more material on the Wasserstein distance. - That said, I'm not sure whether the page on the locality property is enlightning and really surprising. This could in principle be part of the Appendix and leave more space for an algorithmic discussion of the required computations for the variance update. - EP suffers from stability problems when the moment updates are not numerically accurate e.g. as a result of quadrature approximations. I'm missing a discussion on the numerical aspects of the L2 Wasserstein distance computations. - I'm missing a discussion on the marginal likelihood and its accuracy. - I'm missing a discussion of whether and how further derivatives of the site update can be computed in order to perform marginal likelihood hyperparameter optimization. - I'm missing a discussion why values for p different from 2 are not interesting to consider. - The manuscript does not provide evidence whether the proposed divergence measure is better suited in cases where EP has ""deficiencies"" according to the authors. MCMC experiments have shown that EP with KL is surprisingly accurate. The paper lacks a comparison in this respect. The missing convergence proof for EP is clearly an issue but the 2nd and 3rd paragraph seem as if EP is a buggy approach per se. Please provide concise and concrete examples where EP with KL is problematic and demonstrate that EP with WD is any better.",- I'm missing a discussion why values for p different from 2 are not interesting to consider.,0.0,1.0,0.0,0.0,nan,1.0,1.0,-1.0,0.0,nan,-1,"The review point does not provide any direct or explicit actionable steps or experiments that can be done. It merely states that values for p different from 2 are not interesting to consider, without offering any reasoning or justification for this claim. The authors are left without any guidance on what to do next or how to address the issue raised in the review point. The lack of actionable comments in the review point means that the authors cannot deduce what needs to be done, which is why the review point does not meet the criteria for actionability. Therefore, the score is -1.",0,"The review point provided is neutral and factual, which aligns with the score of 0 in the rubric. The tone is neither aggressive nor disrespectful, and it does not encourage or discourage the authors. The reviewer simply states the facts about the paper, such as the lack of discussion on values for p different from 2, without adding any personal opinion or judgment. The reviewer's tone is passive, and the feedback is delivered in a straightforward manner without any attempt to be helpful or constructive. The reviewer does not provide any suggestions or recommendations for improvement, which could have been helpful to the authors. Therefore, the review point is neutral and does not fit well with the other two scores.",0,"The review point in question does not contain any claims that need to be verified. It merely states a lack of interest in considering values for p different from 2. This statement is not a claim that requires justification or verification, as it does not make any assertions about the data or the methodology. It is a subjective opinion that does not need to be substantiated with logical deductions or references to external or internal sources. Therefore, the review point does not meet the criteria for verifiability as outlined in the score rubric. It neither contains a claim nor does it require verification. So the overall score is 0.",-1,"The review point provided is quite vague and does not clearly identify which part of the paper is being addressed. It lacks specificity and does not provide any concrete examples or suggestions for improvement. The authors are left with no clear direction on how to address the review point, which could lead to confusion or misinterpretation of the feedback. The review point does not make it obvious which part of the paper is being addressed, nor does it allow the authors to confidently identify the related parts of the paper. Therefore, based on the score rubric, the review point does not meet the criteria for specificity and clarity. 

In contrast, a review point that is specific and clear would directly address a particular section or aspect of the paper, providing a clear direction for the authors to follow. It would also offer specific examples or suggestions for improvement, which would help the authors understand exactly what needs to be addressed. This would enable the authors to confidently identify the related parts of the paper and take appropriate action. 

So the overall score is -1, as the review point does not provide the necessary specificity and clarity to guide the authors in addressing the feedback."
612,ICLR_2021_971,"Weaknesses
The proposed algorithm is not parameter-free (unlike SNIP, which is virtually parameter-free), is quite complicated (and I imagine difficult to implement), and there is little justification for certain components of the method, e.g., the dynamic scaling function (and choices of lambda), whether the simplification of m_{t-1} = … = m_{T} is mild enough. It is not clear to me how a practitioner can run the proposed algorithm in a parameter-free way without having to conduct ablation studies of their own first, especially since, as the authors note, “We observed that the penalty parameter was difficult to tune properly, either being too aggressive at pruning, or too passive” as the justification for the dynamic scaling function
Parts of the paper are too dense and notation-heavy, and this hurts readability and understanding significantly, e.g., Lemma 1, paragraph regarding the introduction of the saliency function on pg. 2.
The presented experimental results are not very compelling. For example, in Table 3, we see that BEP 1e-4 achieves a ~.4% improvement over SNIP and GRASP, at the cost of ~7-8.4 more hours of training time. This calls into question the effectiveness of the proposed approach -- which is, at the end of the day, meant to speed up training + pruning by removing unnecessary components of the network early on. Clarity
The paper is reasonably well-written and organized overall. It was clear that the authors compressed some of the mathematical expressions/lemmas (e.g., statement of Lemma 1), which is somewhat understandable given the page limit, but this hurt readability and understandability.","2. The presented experimental results are not very compelling. For example, in Table 3, we see that BEP 1e-4 achieves a ~.4% improvement over SNIP and GRASP, at the cost of ~7-8.4 more hours of training time. This calls into question the effectiveness of the proposed approach -- which is, at the end of the day, meant to speed up training + pruning by removing unnecessary components of the network early on. Clarity The paper is reasonably well-written and organized overall. It was clear that the authors compressed some of the mathematical expressions/lemmas (e.g., statement of Lemma 1), which is somewhat understandable given the page limit, but this hurt readability and understandability.",0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,There are two points in here,0,"The review point does not provide any direct or explicit actionable comments that the authors should make. It merely points out the limitations of the proposed approach without suggesting any specific steps or experiments that could be done to address these limitations. The review point also does not include any implicit actionable comments that the authors can infer after reading the review point. It simply states the limitations without providing any guidance on how to improve the approach. Therefore, based on the score rubric, the review point does not meet the criteria for actionability.",0,"The review point provided is neutral and factual, which aligns with the score of 0 in the rubric. The reviewer does not express any form of aggression or rudeness, nor does the tone come across as overly encouraging or supportive. The feedback is focused on the content of the paper, specifically the experimental results and the clarity of the mathematical expressions. The reviewer's tone is neutral, and the feedback is delivered in a manner that is neither rude nor overly polite. The reviewer's comments are factual and do not contain any personal opinions or judgments, which is in line with the score rubric's criteria for a score of 0. The reviewer's feedback is constructive, providing suggestions for improvement, but it does not go beyond the facts presented in the paper. Therefore, the review point is neutral and factual, and it does not fit well with the other two scores. So the overall score is 0.",0,"The review point provided does not contain any claims that need to be verified. It merely states the results of the experiments and the implications of these results. The review point does not make any claims about the validity of the results or the effectiveness of the proposed approach. It also does not provide any logical deductions or references to external or internal sources that could verify the claims. The review point is focused on the clarity of the paper and the readability of the mathematical expressions, which are not related to the verifiability of the claims. Therefore, according to the score rubric, the review point does not meet the criteria for verifying claims. So the score is 0.",-1,"The review point provided is not very specific, which is a key aspect of the score rubric. The review point mentions the experimental results in Table 3 and the training time, but it does not clearly identify which parts of the paper are being addressed. The authors might be unsure about which parts of the paper are being discussed in the review point. The review point also mentions the clarity of the paper, but it does not provide specific examples of where the clarity is lacking. This lack of specificity makes it difficult for the authors to identify the exact parts of the paper that are being addressed by the review point. Therefore, the review point does not meet the criteria for specificity as outlined in the score rubric. 

In contrast, a review point that meets the criteria for specificity would clearly identify which parts of the paper are being addressed and provide specific examples of where the clarity is lacking. This would allow the authors to confidently identify the parts of the paper that are being discussed in the review point. 

So the overall score is -1, as the review point does not provide the necessary specificity to allow the authors to confidently identify the parts of the paper that are being addressed."
3649,NIPS_2020_791,There are several issues here which I would like the authors to address: * Could the authors comment on the use percentile rank? I understand the reasoning behind it more or less but this is not explained in the paper at all. * What is the relationship between the CDF and percentile rank in this case? is there a way to express one with the other? * The experiments show that in a controlled setting (where a clear target patch and template patch are defined) it is possible to explain several illusions. One thing which is common to all the illusions is that the target patch is flat - what about cases where the patch to explain may have some structure? like the Kanitze triangle? this would make a much more convincing case for the method. * The authors show that the percentile rank correlates with the perceived *relative* lightness (for example) but they do not show if this is actually at the same scale of perception - do subjects report the same change in lightness perception? (I'm sure these numbers can be found in literature). * Only one generative model is tested here - do results change with other models? say a simple GMM or a sparse coding based one?,* What is the relationship between the CDF and percentile rank in this case? is there a way to express one with the other?,0.0,1.0,0.0,0.0,nan,0.0,1.0,1.0,0.0,"[A] Leaning to give a 1 here.
[V] I am assuming that ""in this case"" makes it clear to the author to which part the review is referring to, even though it is missing here. ",0,"The review point does not provide any direct or explicit actionable steps or experiments that can be done. It merely states the relationship between the CDF and percentile rank without suggesting any specific actions or improvements that could be made. The review point also does not include any actionable comments that can be implicitly inferred. Instead, it only mentions some limitations without giving any explicit or implicit actions that should be done. Therefore, based on the score rubric, the review point does not meet the criteria for actionability.",0,"The review point provided is neutral and factual, which aligns with the score of 0 in the rubric. The tone is neither aggressive nor disrespectful, and it does not encourage or discourage the authors. The reviewer simply states the facts about the paper, such as the lack of empirical evaluation and the potential misinterpretation of the BPE constraints. However, the reviewer could have been more constructive by offering suggestions for improvement or by acknowledging the strengths of the paper. The reviewer's tone is passive, which is the default score if the review point does not fit well with the other two scores. So the overall score is 0.",0,"The review point in question does not contain any claims that need to be verified. It is a question about the relationship between the CDF and percentile rank, which is a factual statement that does not require any justification or reference. The review point is simply asking for an explanation of how one can be expressed in terms of the other, which is a logical question that does not require any external or internal sources to answer. Therefore, the review point does not meet the criteria for verifiability as it does not contain any claims that need to be verified. So the score is 0.",1,"The review point provided is quite specific and directly addresses the relationship between the CDF and percentile rank. It asks for a clear expression of one in terms of the other, which is a direct and specific question. This specificity allows the authors to identify which parts of the paper are related to the review point. The authors can be confident that the review point is addressing the statistical aspects of the paper, which is a clear and specific part of the paper.

The review point does not leave room for ambiguity or uncertainty. It directly asks for a clear expression of the relationship between the CDF and percentile rank, which is a specific aspect of the paper. This specificity ensures that the authors can confidently identify which parts of the paper are being addressed by the review point.

In contrast, a review point that lacks specificity would not allow the authors to confidently identify which parts of the paper are being addressed. It would leave room for ambiguity and uncertainty, as it would not clearly specify which part of the paper is being addressed.

Therefore, based on the score rubric, the review point is specific and directly addresses a clear part of the paper, which allows the authors to confidently identify which parts of the paper are being addressed. This specificity aligns with the criteria for a score of 1."
4288,NIPS_2020_251,"* The NF assumption was not discussed as compared to a standard SSM which uses additive measurement noise. Placing the emission noise *before* the nonlinearity is a crucial move; otherwise filtering is not tractable. I would have appreciated further discussion of the impact of this. It's possible that this technique can be applied as a drop-in replacement in many models to avoid awkward approximations such as EKF, UKF and PF; however this conclusion is not immediate from the work presented in this paper. * As a simple example, consider a univariate example where $f$ is a sigmoid, and the true $z = -5$, hence $\E[y] ≈ 0$. If $y$ is observed with additive noise of +0.2, the inferred $z = f^{-1}(0.2) ≈ -1.4$, which may cause substantial problems for inference and learning. * The qualitative experiments seemed particularly artificial; I did not learn much here beyond the fact that the implementation broadly seems to work. If these are indicative of a real-world problem, it would be helpful to make this clearer. * NKF does not show markedly better performance than the GP-Copula model in the main experiments.",* NKF does not show markedly better performance than the GP-Copula model in the main experiments.,-1.0,1.0,0.0,0.0,nan,-1.0,1.0,-1.0,0.0,nan,-1,"The review point does not provide any direct or explicit actionable steps or experiments that can be done. It merely states that the NKF model does not show markedly better performance than the GP-Copula model in the main experiments. This statement does not offer any guidance or suggestions for improvement. It also lacks any implicit actionable comments that could be inferred from the review point. The authors are left without any clear direction on what needs to be done to improve their work. Therefore, based on the score rubric, the review point does not meet the criteria for actionability.",0,"The review point provided does not exhibit a tone that is particularly polite or encouraging. It is more neutral and factual, which aligns with a score of 0 according to the rubric. The reviewer does not use any aggressive or disrespectful language, but the tone is not particularly helpful or encouraging either. The reviewer simply states the facts about the performance of the NKF model compared to the GP-Copula model, without offering any constructive feedback or suggestions for improvement. The reviewer also does not use any language that could be perceived as rude or disrespectful. Therefore, based on the rubric, the review point is neutral and factual, which is the default score if the review point does not fit well with the other two scores. So the overall score is 0.",0,"The review point in question does not make any claims, nor does it require verification. It simply states that the NKF model does not show markedly better performance than the GP-Copula model in the main experiments. This is a factual statement that does not need any justification or reference to external or internal sources. The review point is straightforward and does not contain any claims that could be verified or refuted. Therefore, it does not meet the criteria for a score of 1, as it does not contain a claim that is verified. It also does not meet the criteria for a score of -1, as it does not contain any claims that are not verified. The review point is neutral and does not contribute to the overall score. So the overall score is 0.",-1,"The review point provided is quite vague and does not clearly specify which part of the paper is being addressed. It merely states that the NKF model does not show markedly better performance than the GP-Copula model, without providing any concrete examples or details that would help the authors identify the specific sections of the paper that are being critiqued. This lack of specificity makes it difficult for the authors to understand which parts of the paper are being addressed by the review point. As a result, the authors would likely be unsure about the paper part that is being addressed by the review point comment. Therefore, based on the score rubric, the review point does not meet the criteria for specificity, and thus, it would receive a score of -1."
5529,NIPS_2020_1796,"While the result is interesting, many of the design decisions behind the models and training procedures seemed poorly motivated and discussion on their nuances lacking. - Why represent the rewards as a function of a VAE used to encode exploratory frames in the environment? How does more or less exploration impact the effect of the auxiliary rewards learned this way? - What is the impact of environment ordering during training? Are there any curriculum effects at play? Why train with such a curriculum in the first place? An ablation demonstrating the necessity of this approach would contextualize this decision. - The language stating ""the agent learns R_AUP"" was confusing (Line 138). The reviewer believes this language was meant to describe ""training the Q_i functions"" corresponding to each R_i. This confusing language was used in the caption for the reward learning curves in the supplementary materials, which seems supported by the statement starting on Line 202: ""In the supplementary material..."" - Some key concepts are not defined, for example ""initial state reachability"" (Line 42). - It seems the claim that safe reinforcement learning focuses on just avoiding negative side effects during training is inaccurate. As stated in the abstract of a paper the authors cite (García et al, 2015), safe RL is also concerned with safety at deployment. - The language is often unclear, e.g. Line 211: ""AUP stops moving entirely."" The reviewer believes this is referring to the AUP learning a policy in which the agent remains immobile. - The discussion around the theoretical results (3.2) does not add much insight to the experiments and results presented in the paper. - The contribution is not very novel, as it is simply applying AUP as presented in Turner et al, 2020 to another environment, with little to no modification. - Not clear why Lines 55-57 are included in the related work, as they do not seem particularly relevant to safe RL.","- The language is often unclear, e.g. Line 211: ""AUP stops moving entirely."" The reviewer believes this is referring to the AUP learning a policy in which the agent remains immobile.",0.0,1.0,1.0,0.0,nan,1.0,0.0,1.0,0.0,nan,-1,"The review point provided does not offer any direct or explicit actionable steps or experiments that can be done. It merely states a limitation without suggesting any specific actions that should be taken. The reviewer's interpretation of the AUP stopping movement entirely is not actionable and does not provide any insight into how the authors could improve their work. The review point does not give any hint or direct actionable comments, leaving the authors without a clear direction on what needs to be done. Therefore, based on the score rubric, the review point does not meet the criteria for actionability and thus would receive a score of -1.",-1,"The review point provided is not aligned with the expected tone of a review. The language used is unclear and lacks the necessary politeness expected in a review. The phrase ""AUP stops moving entirely"" is vague and does not provide constructive feedback. It does not offer any suggestions for improvement or clarify the point being made. The tone of the review point is not helpful or encouraging, and it does not contribute to a constructive dialogue. The reviewer's interpretation of the phrase is also not clear, which could lead to confusion. The review point does not meet the criteria for politeness, as it does not provide any positive feedback or suggestions for improvement. Therefore, the review point is not helpful and does not contribute to a constructive review process. So the overall score is -1.",-1,"The review point in question makes a claim about the AUP's behavior, suggesting that it stops moving entirely. However, this claim is not supported by any logical deductions or references to external or internal sources. The reviewer's interpretation of the AUP's behavior is based on a single line of text, which lacks the necessary context or explanation to be considered a verified claim. The reviewer's belief that the AUP is immobile is not substantiated, and the claim is not justified or explained in any way. Therefore, according to the score rubric, the review point does not meet the criteria for verifiability, as it contains a claim that is not verified. 

In contrast, a review point that meets the criteria for verifiability would contain a claim that is supported by logical deductions and references to external or internal sources. For example, a review point might claim that the statistical analysis in the paper is incorrect due to the p-values not matching the standard thresholds for significance. This claim would be supported by a reference to the guidelines in 'Statistics for Biologists' (Smith et al., 2020), which would provide a logical explanation and a source to verify the claim. 

So the overall score is -1, as the review point contains a claim that is not verified, and it misses a justification, explanation, or reference.",-1,"The review point provided is vague and lacks specificity. It does not clearly identify which part of the paper is being addressed. The statement ""AUP stops moving entirely"" is ambiguous and does not provide a clear direction for the authors to improve their work. The reviewer's interpretation of the statement is not supported by the text, and it is unclear how the authors should respond to this comment. The lack of specificity in the review point does not allow the authors to confidently identify which parts of the paper are being addressed. Therefore, the score is -1."
3368,NIPS_2020_1285,- Only one constraint value is selected for each environment (50% of the speed attained by an unconstrained PPO agent - how and why was 50% chosen?). I would be interested in seeing whether FOCOPS consistently exceeds performance and satisfies constraints compared to other methods for different constraint levels. - Only one constraint is used for the experiments. How would FOCOPS perform empirically when there are multiple constraints?,- Only one constraint is used for the experiments. How would FOCOPS perform empirically when there are multiple constraints?,0.0,1.0,0.0,0.0,nan,1.0,1.0,-1.0,0.0,nan,-1,"The review point provided does not offer any direct or explicit actionable steps or experiments that can be done. It merely states the existence of a single constraint in the experiments and asks how FOCOPS would perform under multiple constraints. This question is open-ended and does not provide any guidance or direction for the authors to follow. The review point does not suggest any specific actions or experiments that could be performed to address the issue of multiple constraints. It also does not include any actionable comments that can be implicitly inferred from the review point. Instead, it only mentions the limitation of using only one constraint without giving any explicit or implicit actions that should be done. Therefore, based on the score rubric, the review point does not meet the criteria for actionability and thus would receive a score of -1.",0,"The review point provided is neutral and factual, which aligns with the score of 0 in the rubric. The tone is neither aggressive nor disrespectful, and it does not encourage or discourage the authors. The reviewer asks questions and points out potential issues without being overly critical or overly positive. The feedback is focused on the content of the paper and does not make any personal judgments about the authors or their work. The reviewer's tone is consistent throughout the feedback, maintaining a neutral stance. This is in line with the score rubric's description of a score of 0, which indicates a neutral, factual, or passive tone. Therefore, the review point is appropriately scored as 0.",0,"The review point in question does not contain any claims or make any assertions that require verification. It simply poses a question about the performance of FOCOPS under multiple constraints, which is a factual statement that does not need to be verified. The review point does not make any claims about the results of the experiments or the validity of the methodology used. It also does not provide any logical deductions or references to external or internal sources that could be used to verify any claims. Therefore, according to the score rubric, the review point does not contain any claims that need to be verified, and it does not make any claims that could be verified. So the overall score is 0.",1,"The review point provided is quite specific, focusing on the performance of FOCOPS under multiple constraints. It directly addresses the paper's methodology and its potential limitations. The authors can be confident that the review point is discussing the empirical performance of the model under different conditions. The review point is well-defined and directly relates to the paper's content, making it clear which part of the paper is being addressed.

The review point does not leave room for ambiguity, as it specifically asks about the model's performance under multiple constraints. This directness ensures that the authors can identify the relevant sections of the paper and understand the review point's focus. The review point's specificity aligns with the score rubric's criteria for a score of 1, as it allows the authors to be confident about the part of the paper being addressed.

In contrast, a review point with a score of -1 would be vague and unspecific, leaving the authors unsure about which parts of the paper are being addressed. The lack of specificity in such a review point would not allow the authors to confidently identify the relevant sections of the paper.

The review point's specificity is crucial for the authors to understand and address the feedback. It is essential for the authors to be able to identify the specific aspects of their paper that need improvement or clarification. The review point's specificity ensures that the authors can focus their efforts on the areas highlighted in the review point.

In conclusion, the review point's specificity makes it clear which part of the paper is being addressed, allowing the authors to be confident about the paper part that is being addressed by the review point comment. This specificity aligns with the score rubric's criteria for a score of 1."
2693,NIPS_2019_436,"Weaknesses 1. Proposed method is relatively simple extension - involves using typical prototype for class in addition to transformation of class word-embeddings. 2. The benefit of incorporating semantic information is largely in the 5-class, 1-shot learning case (3.5% Mini-Imagenet and 2.75% Tiered-Imagenet accuracy gain compared to state-of-the-art LEO applied to regular few-shot learning scenario) and there seems to be very little gain beyond that number of shots. Comments The proposed setting and method requires that word embeddings are known for all train and test classes. Is it a more realistic scenario for few-shot learning that word-embeddings are only available for train classes, as this removes requirement that model that can only be used to learn about concepts that we already have word-embeddings for? Is semantic information as defined in paper applicable to few-shot settings beyond image-classification?","2. The benefit of incorporating semantic information is largely in the 5-class, 1-shot learning case (3.5% Mini-Imagenet and 2.75% Tiered-Imagenet accuracy gain compared to state-of-the-art LEO applied to regular few-shot learning scenario) and there seems to be very little gain beyond that number of shots. Comments The proposed setting and method requires that word embeddings are known for all train and test classes. Is it a more realistic scenario for few-shot learning that word-embeddings are only available for train classes, as this removes requirement that model that can only be used to learn about concepts that we already have word-embeddings for? Is semantic information as defined in paper applicable to few-shot settings beyond image-classification?",0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,Multiple points in here,-1,"The review point does not provide any direct or explicit actionable steps or comments. It merely discusses the potential limitations of the proposed method without suggesting any specific actions or experiments that could be done to address these limitations. The review point also fails to provide any implicit actionable comments that could be inferred from the review point. It simply states the limitations without offering any solutions or further exploration of the topic. Therefore, based on the score rubric, the review point does not meet the criteria for actionability and thus would receive a score of -1.",0,"The review point is delivered in a neutral tone, which aligns with the score rubric's criteria for a score of 0. The reviewer does not express any aggression or rudeness, nor does the tone come across as particularly helpful or encouraging. The reviewer's comments are factual and do not contain any personal attacks or disrespectful remarks. The reviewer's questions and observations are presented in a straightforward manner, without any attempt to be overly polite or to provide constructive feedback. The reviewer's tone is consistent throughout the review point, maintaining a neutral stance. Therefore, based on the score rubric, the review point is neutral and does not fit well with the other two scores.",-1,"The review point makes a claim about the benefit of incorporating semantic information in few-shot learning scenarios. However, it does not provide any logical deductions or references to external or internal sources to support this claim. The review point also questions the applicability of semantic information in few-shot settings beyond image-classification, but again, it does not offer any evidence or reasoning to back up this claim. The lack of verification and justification in the review point means that it does not meet the criteria for a score of 1. Therefore, based on the score rubric, the review point is not verified and does not provide logical explanations or references to support its claims. So the overall score is -1.",0,"The review point addresses the specificity of the paper's content, focusing on the use of semantic information in few-shot learning scenarios. It correctly identifies the 5-class, 1-shot learning case as the primary context where the benefits of semantic information are significant. However, it also raises a question about the applicability of semantic information in other few-shot learning settings, which is a valid point but not directly related to the specificity of the paper's content.

The review point does not provide a clear answer to the question of whether word-embeddings are available for train and test classes, which is a key aspect of the paper's methodology. This lack of specificity in the review point could lead to confusion among the authors about which parts of the paper are being addressed.

Moreover, the review point does not offer a clear direction for the authors to improve their paper. It only raises questions without providing any concrete suggestions for improvement. This lack of specificity in the review point could result in the authors being unsure about how to address the issues raised.

In conclusion, the review point does not provide a clear and specific answer to the question of which parts of the paper are being addressed, and it does not offer any concrete suggestions for improvement. Therefore, the review point does not meet the criteria for specificity as outlined in the score rubric."
